site,plotid,year,pre_post_fire,postTime,azimuth,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes,project,species,slope
bearmountain,BM27,2019,prefire,"",270,10,10,5,0.5,3,"",CPFMP,,
bearmountain,BM27,2019,prefire,"",270,11,49,6,8,3,"",CPFMP,,
bearmountain,BM27,2019,prefire,"",90,12,12,8,1.65,2,"",CPFMP,,
bearmountain,BM27,2019,prefire,"",90,18,35,9,13,3,"",CPFMP,,
bearmountain,BM27,2019,prefire,"",90,20,73,20,7,3,"",CPFMP,,
bearmountain,BM3,2019,postfire,immediate,0,11,20,11,15,3,"",CPFMP,,
bearmountain,BM3,2019,postfire,immediate,0,27,39,9,18.6,2,"",CPFMP,,
bearmountain,BM3,2019,postfire,immediate,90,35,39,9,18.6,2,"",CPFMP,,
bearmountain,BM3,2019,prefire,"",0,31,87,9,26.1,2,"",CPFMP,,
bearmountain,BM3,2019,prefire,"",180,13,13,11,1.1,4,"",CPFMP,,
bearmountain,BM3,2019,prefire,"",180,13,21,7.5,9.8,2,"",CPFMP,,
bearmountain,BM3,2019,prefire,"",90,20,18,11,0.8,3,"",CPFMP,,
bearmountain,BM3,2019,prefire,"",90,45,87,9,26.1,2,"",CPFMP,,
bearmountain,BM4,2019,prefire,"",180,18,18,15,0.52,2,"",CPFMP,,
bearmountain,BM5,2019,postfire,immediate,0,10,13,8.5,0.75,4,"",CPFMP,,
bearmountain,BM5,2019,postfire,immediate,0,11,11,5,0.35,4,"",CPFMP,,
bearmountain,BM5,2019,postfire,immediate,0,13,10,9,0.27,4,"",CPFMP,,
bearmountain,BM5,2019,postfire,immediate,180,10,10,10,0.7,4,"",CPFMP,,
bearmountain,BM5,2019,postfire,immediate,180,15,14,14,0.82,4,"",CPFMP,,
bearmountain,BM5,2019,postfire,immediate,180,15,15,13,1,4,"",CPFMP,,
bearmountain,BM5,2019,postfire,immediate,180,17,19,13,4.05,1,"",CPFMP,,
bearmountain,BM5,2019,postfire,immediate,180,17.4,27,1,10.8,1,"",CPFMP,,
bearmountain,BM5,2019,postfire,immediate,270,20,20,9,0.65,3,"",CPFMP,,
bearmountain,BM6,2019,postfire,immediate,270,12,12,8,0.7,3,"",CPFMP,,
bearmountain,BM6,2019,prefire,"",270,16,21,1,5.7,1,"",CPFMP,,
bearmountain,BM6,2019,prefire,"",270,19,19,17,4.95,4,"",CPFMP,,
bearmountain,BM6,2019,prefire,"",270,49,27,29,22.9,3,"",CPFMP,,
bearmountain,BM7,2019,prefire,"",270,19.8,20,7,5,2,"",CPFMP,,
bearmountain,BM9,2019,postfire,immediate,0,38,38,22,15.5,3,"",CPFMP,,
bearmountain,BM9,2019,postfire,immediate,180,15,13,13,1.67,2, ,CPFMP,,
bearmountain,BM9,2019,postfire,immediate,180,22,25,10,12.2,1,"",CPFMP,,
bearmountain,BM9,2019,postfire,immediate,180,37,42,38,15.6,3,"",CPFMP,,
bearmountain,BM9,2019,postfire,immediate,90,18,25,10,12.2,1,"",CPFMP,,
bearmountain,BM9,2019,postfire,immediate,90,42,33,13,17.1,2,"",CPFMP,,
bearmountain,BM9,2019,prefire,"",180,19,22.5,10,11.5,2,"",CPFMP,,
bearmountain,BM9,2019,prefire,"",180,22,22.2,9,12.6,2,"",CPFMP,,
bearmountain,BM9,2019,prefire,"",90,17,22.2,9,12.6,2,"",CPFMP,,
bearmountain,BM9,2019,prefire,"",90,45,50,25,12,2,"",CPFMP,,
BlissSP,bliss1,2019,prefire,"",180,27,40,28,3.45,2,"",CPFMP,,
BlissSP,bliss1,2019,prefire,"",270,125,40,36,5.3,5,"",CPFMP,,
BlissSP,bliss1,2019,prefire,"",90,35,35,23,2.45,3,"",CPFMP,,
BlissSP,bliss10,2019,prefire,"",0,15,15,11,4.34,2,"",CPFMP,,
BlissSP,bliss10,2019,prefire,"",180,11,20,5,1.8,4,"",CPFMP,,
BlissSP,bliss10,2019,prefire,"",180,112,120,39,18.9,5,"",CPFMP,,
BlissSP,bliss10,2019,prefire,"",270,15,21,4,3,2,"",CPFMP,,
BlissSP,bliss10,2019,prefire,"",270,18,18.5,6,0.57,4,"",CPFMP,,
BlissSP,bliss10,2019,prefire,"",90,24,25,10,5.6,4,"",CPFMP,,
BlissSP,bliss10,2019,prefire,"",90,28,29,20,1.1,3,"",CPFMP,,
BlissSP,bliss10,2019,prefire,"",90,33,33,21,2.2,5,"",CPFMP,,
BlissSP,bliss11,2019,prefire,"",0,11,12.5,2.5,1.7,3,"",CPFMP,,
BlissSP,bliss11,2019,prefire,"",0,67,70,5,13.4,4,"",CPFMP,,
BlissSP,bliss11,2019,prefire,"",180,34,34,21,4.84,3,"",CPFMP,,
BlissSP,bliss11,2019,prefire,"",270,17,12,5,1.8,3,"",CPFMP,,
BlissSP,bliss12,2019,prefire,"",180,14,14,2,0.61,4,"",CPFMP,,
BlissSP,bliss12,2019,prefire,"",180,43,76,16,25.8,4,"",CPFMP,,
BlissSP,bliss13,2019,prefire,"",0,11,1,16,2.4,2,"",CPFMP,,
BlissSP,bliss13,2019,prefire,"",90,14,70,9,14.8,3,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",0,12.2,13,12.5,1.1,3,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",0,5.5,14.6,5.5,1.12,3,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",180,10.3,29,2.25,8.4,2,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",180,17,18,11,4.05,3,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",270,10,12,7,4.2,3,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",270,10,13,7,3.9,3,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",270,34,52,3,8.8,3,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",270,34,57,7,12,3,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",270,38,40,11,12.9,2,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",270,8,9,2,3.8,2,"",CPFMP,,
BlissSP,bliss14,2019,prefire,"",90,23,45,12,5.7,2,"",CPFMP,,
BlissSP,bliss15,2019,prefire,"",180,10,13,8.7,4.8,3,"",CPFMP,,
BlissSP,bliss15,2019,prefire,"",180,12,22,12,0.42,2,from pile burn,CPFMP,,
BlissSP,bliss15,2019,prefire,"",180,13,13,12,0.36,4,from pile burn,CPFMP,,
BlissSP,bliss15,2019,prefire,"",180,21.6,41,16,9.7,4,"",CPFMP,,
BlissSP,bliss15,2019,prefire,"",180,21.8,21.8,7,0.75,2,from pile burn,CPFMP,,
BlissSP,bliss15,2019,prefire,"",270,17,25,11,7.8,4,"",CPFMP,,
BlissSP,bliss15,2019,prefire,"",270,36,45,6,7.3,4,"",CPFMP,,
BlissSP,bliss2,2019,prefire,"",0,150,160,80,19,5,"",CPFMP,,
BlissSP,bliss2,2019,prefire,"",180,10,13,7,1.5,4,"",CPFMP,,
BlissSP,bliss2,2019,prefire,"",180,15,17,15,1.3,5,"",CPFMP,,
BlissSP,bliss2,2019,prefire,"",180,34,38,33,2.3,4,"",CPFMP,,
BlissSP,bliss2,2019,prefire,"",180,38,40,35,3,5,"",CPFMP,,
BlissSP,bliss2,2019,prefire,"",270,21.5,22,21.5,0.2,4,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",0,11,11,10,1.3,3,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",0,27,27,16,4,3,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",180,11,15,15,2.3,3,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",180,12,13,12,2,3,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",180,25,25,3,5.3,3,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",180,70,200,70,7.1,3,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",180,90,78,65,3.5,4,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",270,16,80,25,15.1,4,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",270,30,40,20,41,4,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",270,33,50,30,6.8,3,"",CPFMP,,
BlissSP,bliss3,2019,prefire,"",90,27,90,16,19.7,3,"",CPFMP,,
BlissSP,bliss4,2019,prefire,"",180,40,51,13,7.1,3,"",CPFMP,,
BlissSP,bliss4,2019,prefire,"",180,44,70,28,8.3,3,"",CPFMP,,
BlissSP,bliss4,2019,prefire,"",180,80,82,79,3.9,3,"",CPFMP,,
BlissSP,bliss4,2019,prefire,"",270,11,11,9,0.95,3,"",CPFMP,,
BlissSP,bliss4,2019,prefire,"",270,30,40,34,3.2,3,"",CPFMP,,
BlissSP,bliss4,2019,prefire,"",90,10,11,10,0.9,4,"",CPFMP,,
BlissSP,bliss4,2019,prefire,"",90,35,70,28,18.3,3,"",CPFMP,,
BlissSP,bliss4,2019,prefire,"",90,8,10,1,1.9,4,"",CPFMP,,
BlissSP,bliss5,2019,prefire,"",0,70,110,30,11.6,4,"",CPFMP,,
BlissSP,bliss5,2019,prefire,"",270,40,40,32,2.75,4,"",CPFMP,,
BlissSP,bliss5,2019,prefire,"",270,50,53,30,10.15,3,"",CPFMP,,
BlissSP,bliss5,2019,prefire,"",90,20,20,19,0.64,3,"",CPFMP,,
BlissSP,bliss5,2019,prefire,"",90,20,22,18,0.49,1,"",CPFMP,,
BlissSP,bliss5,2019,prefire,"",90,27,27,27,0.7,2,"",CPFMP,,
BlissSP,bliss5,2019,prefire,"",90,28,30,26,2.27,2,"",CPFMP,,
BlissSP,bliss5,2019,prefire,"",90,40,40,37,3,3,"",CPFMP,,
BlissSP,bliss5,2019,prefire,"",90,9,19,9,0.23,4,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",0,10,10,8,0.6,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",0,15,14,11,1.3,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",0,52,53,42,3.05,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",0,60,72,60,0.6,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",0,70,95,55,2.04,2,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",0,85,62,55,1.95,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",180,90,180,90,2.09,5,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",270,10,10,10,0.45,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",270,13,13,12,2.45,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",270,13,13,6.1,1.3,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",270,15,15,7.2,1.3,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",270,68,80,68,7.1,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",270,70,70,67,2.5,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",270,9.1,9.1,8.8,1.75,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",90,17.4,20.9,11,3.1,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",90,38,42,38,2.85,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",90,9,12,5.5,1.55,3,"",CPFMP,,
BlissSP,bliss6,2019,prefire,"",90,9,9,9,0.66,3,"",CPFMP,,
BlissSP,bliss7,2019,prefire,"",0,30,38,30,3.1,5,"",CPFMP,,
BlissSP,bliss7,2019,prefire,"",0,6,6,3,1.5,3,"",CPFMP,,
BlissSP,bliss7,2019,prefire,"",180,12,19,5,2.8,4,"",CPFMP,,
BlissSP,bliss7,2019,prefire,"",180,62,80,58,5.1,5,"",CPFMP,,
BlissSP,bliss7,2019,prefire,"",270,12.5,19,5,2.8,4,"",CPFMP,,
BlissSP,bliss7,2019,prefire,"",270,18,25,11,1.2,4,charred,CPFMP,,
BlissSP,bliss7,2019,prefire,"",270,21.5,24,3,7,4,"",CPFMP,,
BlissSP,bliss7,2019,prefire,"",270,23,25,9,0.54,3,charred,CPFMP,,
BlissSP,bliss8,2019,prefire,"",0,13,14,10,0.4,3,charred,CPFMP,,
BlissSP,bliss8,2019,prefire,"",0,15,27,14,3.5,2,"",CPFMP,,
BlissSP,bliss8,2019,prefire,"",180,17,20,7,4.5,3,"",CPFMP,,
BlissSP,bliss8,2019,prefire,"",270,9,9,9,0.4,3,"",CPFMP,,
BlissSP,bliss8,2019,prefire,"",90,10,10,10,0.92,3,"",CPFMP,,
BlissSP,bliss8,2019,prefire,"",90,11,11,11,0.3,3,"",CPFMP,,
BlissSP,bliss8,2019,prefire,"",90,15,15,15,1.5,4,"",CPFMP,,
BlissSP,bliss8,2019,prefire,"",90,35,40,35,3,4,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",0,15,15,10,3.4,4,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",0,29,30,25,5.9,4,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",0,40,40,20,1.25,3,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",180,6,9,6,4.3,4,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",270,19,19,10,0.43,4,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",270,26,50,26,9.3,3,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",270,28,36,28,3.9,3,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",270,31,60,31,12.4,3,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",90,13.2,20,12,4.6,3,"",CPFMP,,
BlissSP,bliss9,2019,prefire,"",90,25,25,9,7.9,3,"",CPFMP,,
BurtonSP,Burton07,2020,postfire,1yr,N,na,na,na,na,na,no cwd,CPFMP,,
BurtonSP,Burton07,2021,postfire,2yr,N,na,"","","","",no CWD,CPFMP,,
BurtonSP,Burton08,2021,postfire,2yr,E,10.5,"","",7,2,"",CPFMP,,
BurtonSP,Burton08,2021,postfire,2yr,E,9,"","",3.1,3,"",CPFMP,,
BurtonSP,Burton08,2021,postfire,2yr,E,9.5,"","",5,3,"",CPFMP,,
BurtonSP,Burton08,2021,postfire,2yr,N,11.5,"","",6.5,2,"",CPFMP,,
BurtonSP,Burton08,2021,postfire,2yr,W,9.5,"","",6.5,2,"",CPFMP,,
BurtonSP,Burton09,2021,postfire,2yr,W,10,"","",0.13,3,"",CPFMP,,
BurtonSP,burton1,2019,prefire,"",0,28,30,10,3.4,4,"",CPFMP,,
BurtonSP,burton1,2019,prefire,"",0,47,50,29,2.3,5,"",CPFMP,,
BurtonSP,burton1,2019,prefire,"",270,20,40,20,5.4,3,"",CPFMP,,
BurtonSP,burton1,2019,prefire,"",270,65,70,65,4.1,5,"",CPFMP,,
BurtonSP,burton1,2019,prefire,"",90,30,15,12,3.5,4,"",CPFMP,,
BurtonSP,burton10,2019,postfire,immediate,180,34,72,15,3,3,partially burned,CPFMP,,
BurtonSP,burton10,2019,prefire,"",0,23,30,14,12,2,"",CPFMP,,
BurtonSP,burton10,2019,prefire,"",180,45,72,15,24,3,"",CPFMP,,
BurtonSP,burton10,2019,prefire,"",90,13,18,19,4.1,2,"",CPFMP,,
BurtonSP,burton10,2019,prefire,"",90,17,30,14,12,2,"",CPFMP,,
BurtonSP,burton11,2019,prefire,"",180,70,70,24,14.4,5,"",CPFMP,,
BurtonSP,burton11,2019,prefire,"",270,21,20,13,0.59,3,"",CPFMP,,
BurtonSP,burton11,2019,prefire,"",270,21,21,15,1,5,"",CPFMP,,
BurtonSP,burton11,2019,prefire,"",90,60,70,24,14.4,5,"",CPFMP,,
BurtonSP,burton12,2019,prefire,"",0,12,13,8,6,3,"",CPFMP,,
