ID,site,plotid,SamplingTime,Azimuth,slope,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes
,caples,24,0,E,25,26,30,3,6.5,2,
,caples,24,0,E,25,70,119,3,26.2,4,
,caples,25,0,S,12,,,,,,
,caples,25,0,W,3,,,,,,
,caples,25,0,N,1,,,,,,
,caples,25,0,E,10,,,,,,
,caples,26,0,S,23,,,,,,
,caples,26,0,W,24,,,,,,
,caples,26,0,N,10,,,,,,
,caples,26,0,E,110,,,,,,
,caples,27,0,S,28,,,,,,
,caples,27,0,W,47,,,,,,
,caples,27,0,N,35,,,,,,
,caples,27,0,E,36,,,,,,
,caples,28,0,S,18,29,27,20,2.4,2,
,caples,28,0,S,18,9,40,3,11.7,2,
,caples,28,0,W,12,,,,,,
,caples,28,0,N,20,16,20,10,8.6,2,
,caples,28,0,N,20,10,18,3,8.2,2,
,caples,28,0,N,20,12,21,3,10.2,2,
,caples,28,0,E,18,,,,,,
,caples,29,0,S,1,,,,,,
,caples,29,0,W,2,33,55,7,9,3,
,caples,29,0,N,15,23,39,4,12.2,4,
,caples,29,0,N,15,16,17,14,2.1,2,
,caples,29,0,E,1,32,30,11,4.2,3,
,caples,30,0,S,25,26,14,7,0.9,2,
,caples,30,0,W,3,,,,,,
,caples,30,0,N,15,11,13,3,4.7,2,
,caples,30,0,E,7,,,,,,
,caples,31,0,S,1,,,,,,
,caples,31,0,W,0,,,,,,
,caples,31,0,N,0,,,,,,
,caples,31,0,E,1,,,,,,
,caples,36,0,S,6,31,58,9,30.7,2,
,caples,36,0,W,1,,,,,,
,caples,36,0,N,2,,,,,,
,caples,36,0,E,1,,,,,,
,caples,48,0,E,23,,,,,,
,caples,49,0,S,7,60,,,,5,
,caples,49,0,W,3,,,,,,
,caples,49,0,N,30,18,30,3,6.2,3,
,caples,49,0,E,0,31,14,5,2.4,2,
,caples,49,0,E,0,35,,,,5,
,caples,49,0,E,0,16,24,10,6.4,2,
,caples,50,0,S,13,,,,,,
,caples,50,0,W,6,64,64,12,6.7,4,
,caples,50,0,W,6,29,45,3,4.9,3,
,caples,50,0,N,17,,,,,,
,caples,50,0,E,15,,,,,,
,caples,51,0,S,36,,,,,,
,caples,51,0,W,22,,,,,,
,caples,51,0,N,32,,,,,,
,caples,51,0,E,18,,,,,,
,caples,52,0,S,4,,,,,,
,caples,52,0,W,5,,,,,,
,caples,52,0,N,11,,,,,,
,caples,52,0,E,5,25,,,,5,
,caples,53,0,S,8,,,,,,
,caples,53,0,W,0,,,,,,
,caples,53,0,N,15,,,,,,
,caples,53,0,E,15,,,,,,
,caples,54,0,S,22,100,170,17,24.8,2,
,caples,54,0,W,1,,,,,,
,caples,54,0,N,29,,,,,,
,caples,32,0,S,11,,,,,,
,caples,32,0,W,4,21,23,3,10.2,2,
,caples,32,0,N,10,10,9,3,3.7,2,
,caples,32,0,N,10,16,20,3,1.9,3,
,caples,32,0,N,10,14,17,13,8.4,3,
,caples,32,0,E,1,,,,,,
,caples,33,0,S,4,9,9,3,2.8,2,
,caples,33,0,S,4,18,44,4,3.3,2,
,caples,33,0,W,4,18,31,3,5.2,2,
,caples,33,0,W,4,12,90,3,20.1,2,
,caples,33,0,N,5,8,9,3,2,2,
,caples,33,0,N,5,11,10,8,7.4,2,
,caples,33,0,E,7,16,25,10,11.2,2,
,caples,33,0,E,7,14,21,3,10.3,2,
,caples,33,0,E,7,12,16,4,7.2,2,
,caples,33,0,E,7,18,18,9,6.3,2,
,caples,34,0,S,2,,,,,,
,caples,34,0,W,26,,,,,,
,caples,34,0,N,15,,,,,,
,caples,34,0,E,12,,,,,,
,caples,35,0,S,33,,,,,,
,caples,35,0,W,18,19,12,5,3.2,2,
,caples,35,0,N,18,,,,,,
,caples,35,0,E,17,,,,,,
,caples,54,0,E,2,,,,,,
,caples,55,0,S,19,,,,,,
,caples,55,0,W,5,,,,,,
,caples,55,0,N,19,,,,,,
,caples,55,0,E,9,,,,,,
,caples,56,0,S,10,,,,,,
,caples,56,0,W,5,13,17,5,0.43,3,
,caples,56,0,W,5,14,4,3,2.5,2,
,caples,56,0,N,14,17,33,3,12.4,3,
,caples,56,0,E,12,,,,,,
,caples,57,0,S,20,16,16,7,0.72,2,
,caples,57,0,W,1,,,,,,
,caples,57,0,N,14,,,,,,
,caples,57,0,E,3,,,,,,
,caples,58,0,N,8,,,,,,
,caples,58,0,E,7,,,,,,
,caples,58,0,S,5,,,,,,
,caples,58,0,W,13,,,,,,
,caples,59,0,N,19,,,,,,
,caples,59,0,E,14,,,,,,
,caples,59,0,S,37,,,,,,
,caples,59,0,W,3,,,,,,
,caples,60,0,N,2,,,,,,
,caples,60,0,E,18,,,,,,
,caples,60,0,S,4,,,,,,
,caples,60,0,W,16,,,,,,
,caples,58,0,N,8,11,8,22,2.7,3,
,caples,58,0,S,5,70,,,16.1,5,
,caples,58,0,W,13,15.9,24,7,1.2,4,
,caples,58,0,E,7,18,18,9,1.98,3,
,caples,58,0,E,7,10,8,3,1.48,3,
,caples,59,0,E,14,48,52,32,3.7,4,
,caples,59,0,S,37,12,14,6,5.4,3,
,caples,59,0,S,37,20.2,15,10,8.1,4,
,caples,100,0,N,16,70.2,90,70,1.1,3,
,caples,100,0,S,16,78,81,43,11.3,3,
,caples,100,0,S,16,50,69,38,5.1,3,
,caples,83,0,W,22,41,47,39,2.65,1,
,caples,83,0,E,22,60,100,55,6.4,1,
,caples,84,0,W,7,20.2,20,10,1.18,4,
,caples,84,0,W,7,45,65,47,19.5,5,
,caples,84,0,E,7,14,15,9,2.7,3,
,caples,84,0,E,7,17,17,6,2.2,3,
,caples,84,0,E,7,11.5,13,11,1.27,3,
,caples,84,0,N,4,46,65,47,19.5,5,Crosses N and W transects
,caples,94,0,E,27,69.2,82,55,9.95,4,
,caples,94,0,E,27,9,11,8,3.37,3,
,caples,1,0,S,2,,,,,,
,caples,1,0,W,5,25,30,25,1.3,2,
,caples,1,0,W,5,70,90,65,9.6,4,
,caples,1,0,W,5,50,40,30,11.2,4,
,caples,1,0,W,5,14,15,11,0.9,3,
,caples,1,0,W,5,20,33,30,3.8,4,
,caples,1,0,N,2,11,55,3,20.1,2,
,caples,1,0,E,5,69,73,32,19.8,4,
,caples,1,0,E,5,18,18,12,1.2,3,
,caples,2,0,S,33,,,,,,
,caples,2,0,W,5,,,,,,
,caples,2,0,N,8,45,24,19,3.2,2,
,caples,2,0,E,14,,,,,,
,caples,3,0,S,17,,,,,,
,caples,3,0,W,8,65,99,34,20.3,2,
,caples,3,0,N,3,,,,,,
,caples,3,0,E,12,,,,,,
,caples,4,0,S,15,22,24,18,1.7,3,
,caples,4,0,S,15,20,118,3,6.8,1,
,caples,4,0,S,15,40,45,25,1.8,4,
,caples,4,0,W,1,22,24,3,9,2,
,caples,4,0,W,1,18,23,3,6.3,1,
,caples,4,0,N,15,42,45,35,1.3,3,
,caples,4,0,N,15,60,62,50,1.6,3,
,caples,4,0,E,2,12,8,3,0.85,3,
,caples,4,0,E,2,38,40,12,8.4,3,
,caples,4,0,E,2,10,14,6,1.7,2,
,caples,4,0,E,2,56,58,41,3.3,4,
,caples,4,0,E,2,10,20,4,2.8,2,
,caples,5,0,S,5,13,22,3,4.5,2,
,caples,5,0,S,5,8,13,3,5.2,2,
,caples,5,0,W,5,8,13,3,5.2,2,
,caples,5,0,W,5,8,12,3,8.3,2,
,caples,5,0,W,5,13,15,6,4,3,
,caples,5,0,W,5,10,6,3,10,2,
,caples,5,0,W,5,10,15,3,6.4,2,
,caples,5,0,N,5,13,15,3,5.3,4,
,caples,5,0,E,5,8,19,3,6.3,2,
,caples,6,0,S,10,23,8,4,3.2,2,
,caples,76,0,S,1,35.2,36,16,16.4,2,
,caples,76,0,W,1,33.8,36,16,16.4,2,also on S line
,caples,76,0,E,15,11.5,38,5,6.95,2,
,caples,76,0,E,15,14,17,3,9.74,2,
,caples,76,0,E,15,12.8,13,1,5.07,5,
,caples,76,0,E,15,11.8,16,7,2,1,
,caples,76,0,N,1,27.8,25,13,6.4,4,
,caples,76,0,N,1,9.1,15,3,8.4,3,
,caples,76,0,N,1,38.3,40,14,7.82,3,
,caples,75,0,E,5,64.5,87,32,26.14,3,
,caples,75,0,E,5,57.5,84,47,26.5,3,
,caples,75,0,N,18,74.5,107,60,17.5,5,spread out significantly
,caples,103,0,W,15,70,74,70,2.8,4,
,caples,103,0,N,15,21,24,19,4.4,3,
,caples,103,0,N,15,18,19,18,4.4,3,connected to log below
,caples,103,0,N,15,18,18,6,4.4,3,connected to log above
,caples,103,0,N,15,72,79,75,4.5,4,
,caples,103,0,E,15,86,180,80,6,4,
,caples,103,0,E,15,110,118,110,13.7,5,
,caples,103,0,S,15,26,49,24,11.9,3,
,caples,103,0,S,15,16,40,10,9.5,4,
,caples,104,0,W,10,44,44,40,8.5,3,
,caples,104,0,S,10,20,20,6,2.55,3,
,caples,104,0,S,10,14,36,2,12.5,3,
,caples,104,0,S,10,19,26,15,11.2,3,
,caples,104,0,N,10,53,64,50,3.9,3,
,caples,104,0,N,10,57,62,51,9.7,4,
,caples,104,0,N,10,50,56,11,19,5,
,caples,104,0,N,10,9,10,7,2.5,3,
,caples,104,0,E,10,20,23,11,6.1,3,
,caples,104,0,E,10,28,37,26,1.6,4,
,caples,105,0,E,16,36,42,36,10,4,
,caples,105,0,E,16,11,21,6,7.5,3,
,caples,105,0,W,16,64,78,64,6.7,4,
,caples,105,0,W,16,63,75,50,16.2,4,
,caples,106,0,N,43,54,57,54,8.3,3,
,caples,106,0,S,43,71,94,41,11.4,4,
,caples,94,0,W,27,68,71,45,6.44,4,
,caples,94,0,S,5,9.4,15,1,2.35,1,
,caples,94,0,S,5,15.4,29,0,9.3,1,
,caples,93,0,W,6,39,75,26,8.95,2,
,caples,93,0,W,6,30,35,10,9.1,5,
,caples,93,0,E,6,31,34,25,1.85,2,
,caples,93,0,N,18,16.2,13,5,8.6,2,
,caples,93,0,N,18,51.5,58,46,13.2,2,
,caples,92,0,W,5,55,55,29,18.7,4,
,caples,92,0,W,5,25,27,3,10.63,2,
,caples,92,0,S,48,32,48,30,12.3,2,Partially elevated at 20 degree angle
,caples,92,0,S,48,21,29,148,6.25,2,Completely elevated above ground on above log
,caples,92,0,N,48,51,69,27,23.9,2,
,caples,95,0,W,4,15.3,15,12,1.1,3,
,caples,82,0,W,7,65,65,53,9.05,3,
,caples,82,0,E,3,14.2,35,12,9.3,4,
,caples,85,0,W,5,13,18,13,3.14,2,
,caples,65,0,E,8,17.5,18,15,1.14,2,
,caples,65,0,S,4,13.5,24,7,6.31,1,
,caples,65,0,N,11,65,74,60,5.2,3,
,caples,65,0,N,11,32,32,3,15.9,2,
,caples,65,0,N,11,72,75,40,13.93,3,
,caples,65,0,N,11,130.1,130,100,7.05,4,
,caples,65,0,N,11,20,25,20,3.4,4,
,caples,65,0,N,11,23,23,17,1.35,4,
,caples,65,0,W,8,95,121,45,33.15,3,
,caples,77,0,E,4,27.5,41,6,10.65,2,
,caples,77,0,E,4,10,10,7,1.35,3,
,caples,77,0,w,4,12.5,16,7,2.52,3,
,caples,77,0,N,22,10.5,10,7,1.35,3,
,caples,77,0,N,22,8.8,9,4,2.84,3,
,caples,77,0,N,22,28.5,72,15,10.5,2,
,caples,76,0,W,1,1.5,12,5,4.48,2,
,caples,76,0,W,1,18.5,49,20,20.35,3,also on N line
,caples,76,0,W,1,15.5,27,10,7.95,2,
,caples,76,0,W,1,11,12,6,3.24,2,
,caples,76,0,N,1,26,49,20,20.35,3,on W line
,caples,108,0,E,18,13,19,9,6,3,
,caples,108,0,W,18,19,19,19,2,3,
,caples,108,0,S,18,9,15,6,4.5,3,
,caples,108,0,S,18,12,12,8,1.55,3,
,caples,108,0,S,18,33,36,27,1.9,3,
,caples,109,0,E,14,52,53,52,3.8,3,
,caples,109,0,E,14,31,31,17,7.6,3,
,caples,109,0,E,14,11,13,2,4.1,2,
,caples,109,0,W,14,12,16,2,7.9,3,
,caples,109,0,W,14,11,11,3,4.7,3,
,caples,109,0,W,14,15,30,7,5.7,4,
,caples,109,0,N,14,25,32,24,2.2,3,
,caples,109,0,N,14,10,11,8,2.1,3,
,caples,109,0,N,14,81,103,31,32.9,3,
,caples,109,0,N,14,30,29,42,4.6,3,
,caples,109,0,N,14,13,15,12,1.2,3,
,caples,110,0,S,24,222,222,45,31.2,4,
,caples,110,0,S,24,17,26,14,8.6,3,
,caples,110,0,S,24,14,43,3,14,3,
,caples,110,0,E,24,13,13,2,7.6,4,
,caples,111,0,N,45,21,23,13,5.8,3,
,caples,111,0,E,45,10,10,8,1.26,3,
,caples,111,0,E,45,15,20,14,1.9,3,
,caples,111,0,W,45,13,41,12,7.5,3,
,caples,111,0,S,45,20,20,20,1.7,4,
,caples,111,0,S,45,32,32,32,5.3,3,
,caples,112,0,E,10,42,42,26,5.1,4,
,caples,112,0,E,10,22,27,22,2.8,4,
,caples,112,0,S,10,21,28,17,1.1,3,
,caples,112,0,S,10,32,36,8,13.1,3,
,caples,113,0,S,25,8,11,2,2.1,3,
,caples,114,0,E,15,78,89,75,8.6,5,
,caples,114,0,N,15,9,15,3,4.5,1,
,caples,116,0,W,15,12,18,9,1.2,3,
,caples,116,0,W,15,11,22,7,2.8,3,
,caples,116,0,N,15,12,13,7,2.25,3,
,caples,116,0,N,15,25,25,13,4.8,3,
,caples,117,0,E,26,20,28,11,2.1,3,
,caples,117,0,S,26,11,12,2,5,3,
,caples,118,0,E,13,8.5,18,2,4.6,2,
,caples,118,0,W,13,10,12,8,2.5,4,
,caples,118,0,W,13,28,25,11,1,4,
,caples,118,0,W,13,13,9,6,1.2,4,
,caples,119,0,W,46,48,66,62,13.8,4,
,caples,119,0,N,46,72,65,46,1.7,4,
,caples,119,0,S,46,12,15,5,2.65,3,
,caples,119,0,S,46,35,43,21,3,3,
,caples,120,0,N,36,14,16,6,4.35,3,
,caples,120,0,N,36,17,24,3,11.3,3,
,caples,120,0,N,36,38,42,31,12,3,
,caples,120,0,N,36,13,15,10,2.7,3,
,caples,120,0,N,36,14,22,9,5.8,3,
,caples,120,0,W,36,30,30,26,3.9,3,
,caples,120,0,S,36,15,27,8,10.7,3,
,caples,120,0,S,36,9,11,9,2.4,3,
,caples,120,0,S,36,37,37,30,5.2,3,
,caples,120,0,S,36,53,175,20,21.3,4,
,caples,120,0,E,36,17,20,17,3.1,3,
,caples,121,0,W,10,13,13,3,0.7,2,
,caples,122,0,W,33,16,49,8,18.3,3,
,caples,122,0,W,33,12,13,1,5.5,3,
,caples,122,0,E,33,39,30,17,15.6,5,
,caples,122,0,E,33,17,30,7,9.4,4,
,caples,122,0,N,33,42,30,17,15.6,5,
,caples,123,0,W,29,17,19,10,2.9,3,
,caples,123,0,W,29,28,30,20,5.1,3,
,caples,123,0,N,29,31,28,26,4,3,
,caples,124,0,W,11,121,72,67,14.2,4,at intersect the bole is splayed out
,caples,126,0,W,26,21,42,6,9.9,3,
,caples,126,0,W,26,12,19,0,4.4,3,
,caples,126,0,W,26,14,17,0,7.6,3,
,caples,126,0,E,26,17,25,4,4,3,
,caples,126,0,E,26,20,24,11,4.6,3,
,caples,126,0,S,26,14,79,9,9.7,3,
,caples,126,0,S,26,11,25,1,6.5,3,
,caples,127,0,S,21,66,66,50,2.1,3,
,caples,127,0,E,21,31,40,25,2.6,3,
,caples,127,0,N,21,13,16,10,1.9,4,
,caples,128,0,W,35,25,30,10,9.2,3,
,caples,128,0,S,35,21,55,5,14.7,2,
,caples,128,0,E,35,11,30,5,6,3,
,caples,128,0,E,35,30,50,30,16.1,3,
,caples,129,0,W,26,14,27,6,14.3,3,
,caples,130,0,W,46,42,52,14,13.3,3,
,caples,130,0,N,46,12,12,9,1.2,4,
,caples,130,0,E,46,10,12,9,1.4,3,
,caples,131,0,S,33,11,11,11,1.9,3,
,caples,131,0,S,33,28,35,28,4.2,4,
,caples,131,0,S,33,35,35,35,2,3,
,caples,131,0,N,33,14,47,2,8.2,5,
,caples,131,0,N,33,10,10,10,1.1,3,
,caples,131,0,N,33,24,24,24,1.35,4,
,caples,131,0,E,33,10,15,10,5.1,5,
,caples,131,0,E,33,10,16,2,4.4,3,
,caples,131,0,E,33,10,13,2,3.5,3,
,caples,131,0,W,33,20,21,12,5.8,3,
,caples,131,0,W,33,14,20,7,3.8,2,
,caples,131,0,W,33,55,78,50,7.2,3,
,caples,133,0,N,23,27,31,24,2.7,4,
,caples,133,0,N,23,13,13,10,1.1,4,
,caples,133,0,S,23,12,15,2,8,1,
,caples,133,0,E,23,11,21,11,6,3,
,caples,75,1,N,18,,,,,,No CWD on transect
,caples,75,1,E,5,42,95,42,28.7,4,
,caples,75,1,S,18,,,,,,No CWD on transect
,caples,75,1,W,5,,,,,,No CWD on transect
,caples,99,1,N,35,,,,,,No CWD on transect
,caples,99,1,E,5,,,,,,No CWD on transect
,caples,99,1,S,35,,,,,,No CWD on transect
,caples,99,1,W,5,,,,,,No CWD on transect
,caples,100,1,N,16,,,,,,No CWD on transect
,caples,100,1,E,15,,,,,,No CWD on transect
,caples,100,1,S,16,14.5,23,9,27.9,3,
,caples,100,1,W,15,,,,,,No CWD on transect
,caples,101,1,N,40,,,,,,No CWD on transect
,caples,101,1,E,55,,,,,,No CWD on transect
,caples,101,1,S,40,,,,,,No CWD on transect
,caples,101,1,W,55,,,,,,No CWD on transect
,caples,102,1,N,29,,,,,,No CWD on transect
,caples,102,1,E,38,,,,,,No CWD on transect
,caples,102,1,S,10,,,,,,No CWD on transect
,caples,102,1,W,38,,,,,,No CWD on transect
,caples,103,1,N,15,,,,,,No CWD on transect
,caples,103,1,E,15,,,,,,No CWD on transect
,caples,103,1,S,15,25,28,4,27.2,,
,caples,103,1,S,15,28.5,31,24,25,,
,caples,103,1,W,15,,,,,,No CWD on transect
,caples,105,1,N,16,,,,,,No CWD on transect
,caples,105,1,E,16,25,33,12,1.3,4,
,caples,105,1,S,16,,,,,,No CWD on transect
,caples,105,1,W,16,48,47,28,16.8,2,Did not measure length south of boulder. Measured all parts to the north
,caples,111,1,N,45,,,,,,No CWD on transect
,caples,111,1,E,45,13,14,8,1.5,2,
,caples,111,1,S,45,45,100,20,,1,"Freshly fallen, live when fell."
,caples,111,1,W,45,,,,,,No CWD on transect
,caples,115,1,N,24,,,,,,No CWD on transect
,caples,115,1,E,24,,,,,,No CWD on transect
,caples,115,1,S,24,,,,,,No CWD on transect
,caples,115,1,W,24,,,,,,No CWD on transect
,caples,117,1,N,26,,,,,,No CWD on transect
,caples,117,1,E,26,,,,,,No CWD on transect
,caples,117,1,S,26,12,12,6,3.2,1,Broken into pieces
,caples,117,1,W,26,,,,,,No CWD on transect
,caples,118,1,N,13,,,,,,No CWD on transect
,caples,118,1,E,13,,,,,,No CWD on transect
,caples,118,1,S,13,,,,,,No CWD on transect
,caples,118,1,W,13,30,30,30,13,4,
,caples,119,1,N,46,,,,,,No CWD on transect
,caples,119,1,E,46,,,,,,No CWD on transect
,caples,119,1,S,46,,,,,,No CWD on transect
,caples,119,1,W,46,,,,,,No CWD on transect
,caples,121,1,N,10,,,,,,No CWD on transect
,caples,121,1,E,10,,,,,,No CWD on transect
,caples,121,1,S,10,,,,,,No CWD on transect
,caples,121,1,W,10,,,,,,No CWD on transect
,caples,122,1,N,33,,,,,,No CWD on transect
,caples,122,1,E,33,,,,,,No CWD on transect
,caples,122,1,S,33,,,,,,No CWD on transect
,caples,122,1,W,33,,,,,,No CWD on transect
,caples,129,1,N,26,,,,,,No CWD on transect
,caples,129,1,E,26,13,13,12,1.05,1,
,caples,129,1,E,26,17,18,5,3.7,1,
,caples,129,1,E,26,7,20,4,4,1,
,caples,129,1,E,26,6,25,5,2.5,1,
,caples,129,1,S,26,,,,,,No CWD on transect
