site,month,day,year,plot_id,X,Y,burn,NearestRegen1_dist,NearestRegen1_az,NearestRegen1_spp,NearestSeedSource1_dist,NearestSeedSource1_az,NearestSeedSource1_spp,NearestSeedSource2_dist,NearestSeedSource2_az,NearestSeedSource2_spp,NearestSeedSource3_dist,NearestSeedSource3_az,NearestSeedSource3_spp,slope,aspect,shape_horiz,shape_vert,slope_position,cga,fuelmodel,domveg,Wtree_dist,Wtree_azimuth,Wtree_Tag,totveg,tot_all,tot_ht,dt_all,dt_ht,tov,tov_ht,tsa,tsa_ht,tse,tse_ht,tre,tre_ht,tos,tos_ht,ds,ds_ht,st,st_ht,sm,sm_ht,sl,sl_ht,tof,tof_ht,tog,tog_ht,baresoil,litter,wood,cones,bedrock,smrock,rock,ash,basalveg,moss,road,totground,history,notes,
lakesdistrict,9,7,2019,burton17,747100,4342094,no,,,,69.7,73,abma,16.8,142,pije,,,,13,66,LL,LL,BS,100,9,"abco,pije,ceco",4.5,50,816,33,30,16.8,0.5,14.6,30,16.8,0,,tr,0.17,0,,2.5,0.25,0.5,,0,,0.5,0.45,2.5,0.2,tr,0.1,0,,0.5,95.5,1.5,tr,0,tr,2,0,0.5,0,0,100,,most trees were already tagged. did not re tag. tags are not all facing center,
lakesdistrict,9,7,2019,burton18,747002,4341999,no,,,,,,,,,,,,,6,140,LL,LL,BS,100,9,"abco,abma,quva",7.6,15,724,80,60,11.5,tr,2,60,11.5,tr,,tr,0.9,0,,44,0.6,0,,0.5,2.5,33,0.6,44,0.2,tr,0.1,0,,tr,83.5,12,tr,0,tr,2.5,0,2,0,0,100,,,
lakesdistrict,9,7,2019,burton19,746862,4342062,no,,,,,,,,,,,,,3,200,LL,LL,BS,100,9,"abco,pije,cade",2.7,11,752,85,65,5.5,tr,25,61,5.5,3,2,1,0.75,0,,20,,0,,0,,tr,0.6,20,0.15,1,0.2,tr,0.15,1,94.5,1.5,tr,0,tr,0.5,0,2.5,0,0,100,,,
lakesdistrict,9,7,2019,burton20,746988,4342114,no,,,,,,,,,,,,,1,169,LL,LL,BS,100,9,"abco,pije,cade",8.8,13,797,30,30,25,tr,4,30,25,tr,2,tr,0.05,0,,2,1,0,,0,,1,1.5,2,0.3,tr,0.2,tr,0.15,0.5,97.5,1,tr,0,tr,0.5,0,0.5,0,0,100,,,
lakesdistrict,9,8,2019,burton21,746910,431925,no,,,,,,,,,,,,,11,230,LL,LL,BS,100,9,"abco,pije,quva",8,11,807,90,75,16,tr,5,75,16,tr,2.5,5,1.15,0,,8,1,0,,0,,5,1.25,8,0.25,tr,0.15,0,,tr,97,0.5,tr,0,0.5,tr,0,2,0,0,100,,,
lakesdistrict,9,8,2019,burton22,747026,4341888,no,,,,,,,,,,,,,16,160,LL,LL,BS,98,9,"abco,pije,quva",8.7,23,850,80,75,14,tr,6.5,75,14,tr,2.5,tr,0.07,0,,16.5,0.4,0,,0,,3,1.25,16.5,0.3,tr,0.15,0,,tr,82.5,6,tr,0,tr,10,0,1.5,0,0,100,,,
lakesdistrict,9,8,2019,burton23,746507,4341644,no,,,,,,,,,,,,,10,158,LL,LL,BS,100,9,"abco,pije,cade",5.8,45,879,60,50,20,0,,50,20,tr,2,1,1,0,0,15,0.4,0,,0,,tr,1.15,15,0.35,tr,0.2,0,,0.5,98,tr,tr,0,tr,tr,0,1.5,0,0,100,,,
lakesdistrict,9,8,2019,burton24,746793,4341561,no,,,,,,,,,,,,,7,123,LL,LL,BS,100,9,"pila,cade,wymo",8.1,6,896,85,85,4.5,0,,85,4.5,25,3,tr,,0,0,0.5,0.35,0,,tr,2.3,tr,0.65,0.5,0.15,tr,0.35,0,,tr,97.5,tr,tr,0,tr,0,0,2.5,0,0,100,,,
lakesdistrict,7,28,2019,bliss1,751091,4320614,no,,,,35,293,cade,,,,,,,5,43,LL,LL,FS,80,9,"abco, pije, quva",3.8,34,,35,34,25,1,10,33,25,0,0,tr,0.02,0,0,1,0.4,0,0,0,,tr,0.6,1,0.4,0,0,0,,1,77,1,tr,0,5,15,0,1,0,0,100,,close to bottom near rd ,close to bottom near rd 
lakesdistrict,7,28,2019,bliss2,750987,4320531,no,,,,,,,,,,,,,15,297,LL,LL,FS,90,9,"abco, cade, pila",11,2,,65,45,15,tr,7,45,15,tr,2,tr,0.4,0,0,30,0.5,1,0.4,0,,20,0.7,30,0.4,tr,0.25,0,,1,84,5,tr,0,3,6,0,1,tr,0,100,,,
lakesdistrict,7,28,2019,bliss3,751091,4320471,no,,,,35,166,pila,43,274,cade,,,,25,358,LL,LL,BS,80,9,"abco, cade, pila",1.7,34,,63,35,15,tr,7,35,15,0,0,tr,0.2,0,0,35,0.8,tr,0.5,tr,2.2,29,1,35,0.35,tr,0.2,0,,1,71,5,tr,0,2,20,0,1,0,0,100,,,
lakesdistrict,7,28,2019,bliss4,750958,4320396,no,,,,,,,,,,,,,30,358,LL,LL,BS,85,9,"pila, abco, cade",11.25,78,,45,25,15,tr,7,25,15,0,0,tr,0.3,0,,35,1,tr,0.6,tr,2,34,1,35,0.4,tr,0.2,0,,2,73,7,tr,0,2,15,0,1,0,0,100,,,
lakesdistrict,7,28,2019,bliss5,750879,4320280,no,,,,53,342,cade,,,,,,,30,324,LL,LL,BS,97,9,"pila, pije, abco",8.9,30,,75,40,25,0,0,40,25,0,0,tr,0.4,0,0,43,0.8,0,0,tr,2.1,35,0.7,43,0.4,tr,0.2,0,,tr,93,2,tr,0,1,3,0,1,tr,0,100,,,
lakesdistrict,7,29,2019,bliss6,751138,4320278,no,,,,,,,,,,,,,15,313,LL,LL,BS,85,9,"pila,abco,quva",7.2,93,,80,12,25.5,tr,2.5,12,25.5,tr,3.25,tr,0.3,0,0,70,,1,1.5,0,,63,1.4,69,0.3,0,,0,,tr,81,2,tr,0,1,15,0,1,tr,0,100,,,
lakesdistrict,7,29,2019,bliss7,750987,4320189,no,,,,53,268,cade,,,,,,,14,314,LL,LL,BS,100,9,"pije,abco,pila",11.2,11,,65,12,12,tr,10,12,12,tr,3.5,tr,0.3,0,0,46,0.3,tr,,0,,0,,tr,0.3,tr,0.5,0,,tr,97,tr,tr,0,tr,1,tr,2,0,0,100,pile burn last fall with slop over / scorch on trees,,
lakesdistrict,7,29,2019,bliss8,750791,4320123,no,,,,37,294,cade,,,,,,,28,278,LL,LL,BS,100,9,"pije,abco,pila",6,5,,56,10,15,tr,10,10,15,tr,1.5,tr,0.4,0,0,53,0.5,0,,4,2.2,43,0.75,46,0.3,tr,0.3,0,,1,98,1,tr,0,tr,tr,tr,tr,tr,0,100,,,
lakesdistrict,7,29,2019,bliss9,750889,4319987,no,,,,,,,,,,,,,30,278,LL,LL,BS,97,9,"abco,pipo,arpa",3.2,146,,90,10,12,tr,2,10,12,tr,2,tr,0.3,0,0,80,1.3,3,0.2,3,2,80,1.3,80,0.4,tr,0.2,0,,tr,94,2,tr,0,tr,3,tr,1,0,0,100,,plot center at clearing near abcos surrounded by shrubs ,plot center at clearing near abcos surrounded by shrubs 
lakesdistrict,7,30,2019,bliss10,751222,4320137,no,,,,,,,,,,,,,23,328,LL,LL,BS,100,9,"abco, pila, abma",3.7,23,,70,42,16,tr,1.9,42,16,tr,0.5,tr,0.02,0,0,6,0.8,0,0,0,,5,0.8,1,0.2,tr,0.12,0,,tr,94,4,tr,tr,tr,1,0,1,0,0,100,,,
lakesdistrict,7,30,2019,bliss11,751082,4320071,no,,,,,,,,,,,,,14,265,LL,LL,BS,100,9,"abco, pije, pila",5.3,2,,50,38,20,1,2.75,37,17,tr,0.56,tr,0.1,0,0,15,0.5,2,0.6,0,,9,0.5,6,0.2,tr,0.17,0,,tr,78,2,tr,tr,8,10,tr,2,0,0,100,pile burn last fall with slop over / scorch on trees,,
lakesdistrict,7,30,2019,bliss12,751256,4319927,no,,,,16,100,cade,,,,,,,21,181,LL,LL,SH,100,9,"pila,abco,pije",7.6,198,,45,35,15,5,22,35,15,5,2.1,tr,0.03,0,0,15,0.6,5,0.6,0,,3,0.8,7,0.2,tr,0.01,0,,3,95,2,tr,0,tr,tr,tr,tr,0,0,100,pile burn last fall with slop over / scorch on trees,,
lakesdistrict,7,30,2019,bliss13,751066,4319880,no,,,,16,205,cade,,,,,,,31,211,LL,LL,BS,100,9,"abco, pila, pije",1.6,24,,85,40,16,tr,14,40,16,0,0,tr,0.4,0,0,60,1.2,1,0.75,3,2,58,0.5,60,0.3,tr,0.06,0,,3,94,2,tr,0,tr,tr,0,1,0,0,100,,,
lakesdistrict,7,30,2019,bliss14,751210,4319797,no,,,,,,,,,,,,,27,252,LL,LL,BS,100,9,"abco, pila, pije",3.4,7,,70,35,18,tr,10,35,18,0,0,tr,0.5,0,0,48,1.2,0,0,tr,2,47,0.6,48,0.4,tr,0.3,0,,2,92.5,4,tr,0,tr,tr,tr,1.5,0,0,100,pile burn last fall with slop over / scorch on trees,,
lakesdistrict,7,31,2019,bliss15,751326,4319696,no,,,,,,,,,,,,,21,242,LL,LL,BS,100,9,"abco, pije, pila",6.4,7,,55,40,14,2,20,38,14,tr,1.5,tr,0.4,0,0,21,0.7,tr,0.5,0,,20,1.2,21,0.5,tr,0.2,0,,1.5,95,2.5,tr,0,tr,tr,tr,1,0,0,100,pile burn last fall with slop over / scorch on trees,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
