year,plotid,pre_post_fire,obs,species,status,lifeform,layer_code,percent,notes,collected,pic
2021,KLAMATH004,prefire,km,salexi,live,sh,,65,*plot set at 5.65m radius,,
2021,KLAMATH004,prefire,km,salexi,dead,sh,,5,*plot set at 5.65m radius,,
2021,KLAMATH004,prefire,km,carlep?,live,gr,,98,*plot set at 5.65m radius,,
2021,KLAMATH004,prefire,km,brodia,live,gr,,tr,*plot set at 5.65m radius,,
2021,KLAMATH004,prefire,km,salexi,live,sh,,38,*plot set at 5.65m radius,,
2021,KLAMATH005,prefire,km,arbmen,live,tr,tse,0.5,,,
2021,KLAMATH005,prefire,km,psme,live,tr,tse,tr,,,
2021,KLAMATH005,prefire,km,node,live,tr,tse,tr,,,
2021,KLAMATH005,prefire,km,arbmen,live,tr,tsa,0.25,,,
2021,KLAMATH005,prefire,km,arbmen,live,tr,tre,22,,,
2021,KLAMATH005,prefire,km,umbcal,live,tr,tre,0.5,,,
2021,KLAMATH005,prefire,km,node,live,tr,tre,2,,,
2021,KLAMATH005,prefire,km,conu,live,tr,tre,0.25,,,
2021,KLAMATH005,prefire,km,acemac,live,tr,tre,0.75,,,
2021,KLAMATH005,prefire,km,psme,live,tr,tov,28,,,
2021,KLAMATH005,prefire,km,node,live,tr,tov,6,,,
2021,KLAMATH005,prefire,km,umbcal,live,tr,tov,0.75,,,
2021,KLAMATH005,prefire,km,node,dead,tr,tov,0.25,,,
2021,KLAMATH005,prefire,km,psme,dead,tr,tov,0.5,,,
2021,KLAMATH005,prefire,km,acemac,dead,tr,tov,0.25,,,
2021,KLAMATH005,prefire,km,arbmen,dead,tr,tov,3,,,
2021,KLAMATH005,prefire,km,rosaceae sp,live,sh,,tr,"simple entire leaves, alternate, irregularly toothed/lobed, single spines in leaf axils, lvs tear drop shaped, one main and 2 smaller leaves coming from same point in avil, none to short petiole",,
2021,KLAMATH005,prefire,km,salix2,live,sh,,tr,,,
2021,KLAMATH005,prefire,km,bacpil,live,sh,,tr,,,
2021,KLAMATH005,prefire,km,vacova,live,sh,,0.25,"was ""vaccinium lobatum"" but assumed misheard botanist",,
2021,KLAMATH005,prefire,km,ribroe,live,sh,,0.5,ribroe,,
2021,KLAMATH005,prefire,km,rosspi,live,sh,,0.25,,,
2021,KLAMATH005,prefire,km,lonhis,live,sh,,tr,,,
2021,KLAMATH005,prefire,km,rubarm,live,sh,,80,,,
2021,KLAMATH005,prefire,km,ceaint,live,sh,,5,big and sm lvs,,
2021,KLAMATH005,prefire,km,rublac,live,sh,,0.25,rubus laciatus,,
2021,KLAMATH005,prefire,km,rubleu,live,sh,,0.25,,,
2021,KLAMATH005,prefire,km,arcto3,live,sh,,tr,,,
2021,KLAMATH005,prefire,km,arcana?,live,sh,,tr,arctostaphy anaphalis,,
2021,KLAMATH005,prefire,km,corcorcal,live,sh,,tr,,,
2021,KLAMATH005,prefire,km,pentri,live,fern,,tr,,,
2021,KLAMATH005,prefire,km,pteaqu,live,fern,,0.5,,,
2021,KLAMATH005,prefire,km,polmun,live,fern,,0.25,big,,
2021,KLAMATH005,prefire,km,vitcal,live,fb,,11,,,
2021,KLAMATH005,prefire,km,staaju,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,whimod,live,fb,,6,whipplea modesta,,
2021,KLAMATH005,prefire,km,iris,live,fb,,0.25,,,
2021,KLAMATH005,prefire,km,hypper,live,fb,,0.25,,,
2021,KLAMATH005,prefire,km,torarv,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,potgla,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,cirvul,live,fb,,tr,thistle,,
2021,KLAMATH005,prefire,km,madia sm,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,galtri,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,phabol,live,fb,,tr,phacelia bolanderi,,
2021,KLAMATH005,prefire,km,anaphalis?,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,daupus,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,leuvul,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,philew,live,sh,,tr,philadelpis lewisii,,
2021,KLAMATH005,prefire,km,concan,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,wooly aster,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,erigeron sparse,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,basal lvs,live,fb,,tr,,,
2021,KLAMATH005,prefire,km,melica,live,gr,,0.25,,,
2021,KLAMATH005,prefire,km,fescue,live,gr,,0.25,,,
2021,KLAMATH005,prefire,km,thin lv grass,live,gr,,0.25,,,
2021,KLAMATH005,prefire,km,cynech,live,gr,,tr,,,
2021,KLAMATH005,prefire,km,juncus,live,gr,,0.25,,,
2021,KLAMATH006,prefire,km,salexi,live,sh,,2,"smaller, thin leaves",*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,salix2,live,sh,,45,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,salexi,dead,sh,,0.5,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,salix2,dead,sh,,9,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,rubarm,live,sh,,0.5,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,artdou,live,fb,,35,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,vitcal,live,fb,,3,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,erigeron sparse,live,fb,,1,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,dandylion,live,fb,,tr,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,daupus,live,fb,,tr,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,round tse,live,fb,,tr,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,rumex crispus,live,fb,,0.25,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,vicia,live,fb,,0.25,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,equhye,live,fern,,tr,"was ""horsetail""",*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,brodia,live,gr,,12,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,grass,live,gr,,20,,*plot set at 5.65m radius,
2021,KLAMATH006,prefire,km,tall wavy,live,gr,,1,,*plot set at 5.65m radius,
2021,KLAMATH007,prefire,km,salexi,live,sh,,46,,*plot set at 5.65m radius,
2021,KLAMATH007,prefire,km,salexi,dead,sh,,2,,*plot set at 5.65m radius,
2021,KLAMATH007,prefire,km,rubarm,live,sh,,0.75,,*plot set at 5.65m radius,
2021,KLAMATH007,prefire,km,vicia,live,fb,,0.5,,*plot set at 5.65m radius,
2021,KLAMATH007,prefire,km,vinmaj,live,fb,,25,vinca major,*plot set at 5.65m radius,
2021,KLAMATH007,prefire,km,artdou,live,fb,,1.25,,*plot set at 5.65m radius,
2021,KLAMATH007,prefire,km,equhye,live,fern,,0.75,,*plot set at 5.65m radius,
2021,KLAMATH007,prefire,km,brodia,live,gr,,75,,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,rops,live,tr,tre,5,robinia pseudoacacia,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,rops,live,tr,tov,95,,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,rops,dead,tr,tsa,tr,,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,rops,dead,tr,tov,0.5,,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,rops,dead,tr,tre,6,,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,rubarm,live,sh,,3.5,,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,vinmaj,live,fb,,1.5,,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,daupus,live,fb,,2,many seedlings,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,grass,live,gr,,88,,*plot set at 5.65m radius,
2021,KLAMATH008,prefire,km,brodia,live,gr,,1,,*plot set at 5.65m radius,
2021,KLAMATH009,prefire,km,node,live,tr,tse,tr,,,
2021,KLAMATH009,prefire,km,umbcal,live,tr,tse,tr,,,
2021,KLAMATH009,prefire,km,rops,live,tr,tse,tr,,,
2021,KLAMATH009,prefire,km,acemac,live,tr,tse,tr,,,
2021,KLAMATH009,prefire,km,psme,live,tr,tse,tr,,,
2021,KLAMATH009,prefire,km,arbmen,live,tr,tse,2,,,
2021,KLAMATH009,prefire,km,rops,live,tr,tsa,tr,,,
2021,KLAMATH009,prefire,km,node,live,tr,tsa,tr,,,
2021,KLAMATH009,prefire,km,node,live,tr,tre,3,,,
2021,KLAMATH009,prefire,km,arbmen,live,tr,tre,0.5,,,
2021,KLAMATH009,prefire,km,rops,live,tr,tre,0.25,,,
2021,KLAMATH009,prefire,km,node,live,tr,tov,7,,,
2021,KLAMATH009,prefire,km,acemac,live,tr,tov,5.5,,,
2021,KLAMATH009,prefire,km,psme,live,tr,tov,80,,,
2021,KLAMATH009,prefire,km,rops,live,tr,tov,20,,,
2021,KLAMATH009,prefire,km,node,dead,tr,tov,7,,,
2021,KLAMATH009,prefire,km,node,dead,tr,tse,tr,,,
2021,KLAMATH009,prefire,km,rops,dead,tr,tov,2,,,
2021,KLAMATH009,prefire,km,arbmen,dead,tr,tov,0.5,,,
2021,KLAMATH009,prefire,km,psme,dead,tr,tse,6,,,
2021,KLAMATH009,prefire,km,vacova,live,sh,,tr,,,
2021,KLAMATH009,prefire,km,rubleu,live,sh,,1,,,
2021,KLAMATH009,prefire,km,lonhis,live,sh,,tr,,,
2021,KLAMATH009,prefire,km,ribroe,live,sh,,0.25,,,
2021,KLAMATH009,prefire,km,rubarm,live,sh,,15,,,
2021,KLAMATH009,prefire,km,ceaint,live,sh,,0.25,,,
2021,KLAMATH009,prefire,km,vinmaj,live,sh,,tr,"was ""opp fb""",,
2021,KLAMATH009,prefire,km,arct009,live,sh,,tr,brittle stem,,
2021,KLAMATH009,prefire,km,whimod,live,fb,,82,,,
2021,KLAMATH009,prefire,km,torarv,live,fb,,tr,,,
2021,KLAMATH009,prefire,km,galtri,live,fb,,tr,,,
2021,KLAMATH009,prefire,km,vitcal,live,fb,,0.25,,,
2021,KLAMATH009,prefire,km,hypper,live,fb,,tr,,,
2021,KLAMATH009,prefire,km,cirvul,live,fb,,tr,,,
2021,KLAMATH009,prefire,km,daupus,live,fb,,tr,,,
2021,KLAMATH009,prefire,km,clidou,live,fb,,0.5,clinopodium,,
2021,KLAMATH009,prefire,km,san,live,fb,,tr,,,
2021,KLAMATH009,prefire,km,tall fb,live,fb,,tr,,,
2021,KLAMATH009,prefire,km,madia sm,live,fb,,tr,,,
2021,KLAMATH009,prefire,km,pteaqu,live,fern,,0.5,,,
2021,KLAMATH009,prefire,km,polmun,live,fern,,tr,,,
2021,KLAMATH009,prefire,km,cynech,live,gr,,0.25,,,
2021,KLAMATH009,prefire,km,brocar,live,gr,,0.25,,,
2021,KLAMATH009,prefire,km,grass,live,gr,,2,,,
2021,KLAMATH009,prefire,km,carex2,live,gr,,tr,,,
2021,KLAMATH009,prefire,km,thin lv grass,live,gr,,tr,,,
2021,KLAMATH009,prefire,km,bromus tall,live,gr,,0.25,,,
2021,KLAMATH009,prefire,km,brodia,live,gr,,tr,,,
2021,KLAMATH010,prefire,km,node,live,tr,tse,tr,,,
2021,KLAMATH010,prefire,km,psme,live,tr,tse,tr,,,
2021,KLAMATH010,prefire,km,quke,live,tr,tse,tr,,,
2021,KLAMATH010,prefire,km,arbmen,live,tr,tse,tr,,,
2021,KLAMATH010,prefire,km,pila,live,tr,tse,tr,,,
2021,KLAMATH010,prefire,km,node,live,tr,tre,26,,,
2021,KLAMATH010,prefire,km,conu,live,tr,tre,0.25,,,
2021,KLAMATH010,prefire,km,quwi,live,tr,tre,tr,,,
2021,KLAMATH010,prefire,km,arbmen,live,tr,tre,0.25,,,
2021,KLAMATH010,prefire,km,quke,live,tr,tre,0.25,,,
2021,KLAMATH010,prefire,km,node,live,tr,tov,6,,,
2021,KLAMATH010,prefire,km,psme,live,tr,tov,80,,,
2021,KLAMATH010,prefire,km,arbmen,live,tr,tov,2,,,
2021,KLAMATH010,prefire,km,node,dead,tr,tsa,3,,,
2021,KLAMATH010,prefire,km,node,dead,tr,tre,0.25,,,
2021,KLAMATH010,prefire,km,quke,dead,tr,tsa,0.25,,,
2021,KLAMATH010,prefire,km,node,dead,tr,tse,tr,,,
2021,KLAMATH010,prefire,km,psme,dead,tr,tov,0.25,,,
2021,KLAMATH010,prefire,km,arbmen,dead,tr,tov,0.25,,,
2021,KLAMATH010,prefire,km,pila,dead,tr,tov,1.5,,,
2021,KLAMATH010,prefire,km,corcorcal,dead,sh,,0.25,,,
2021,KLAMATH010,prefire,km,rosspi,live,sh,,0.25,,,
2021,KLAMATH010,prefire,km,ceaint,live,sh,,tr,,,
2021,KLAMATH010,prefire,km,corcorcal,live,sh,,5.5,,,
2021,KLAMATH010,prefire,km,rubleu,live,sh,,2,,,
2021,KLAMATH010,prefire,km,lonhis,live,sh,,0.25,,,
2021,KLAMATH010,prefire,km,toxdiv,live,sh,,0.25,,,
2021,KLAMATH010,prefire,km,ribroe,live,sh,,0.25,,,
2021,KLAMATH010,prefire,km,symalb,live,sh,,0.25,,,
2021,KLAMATH010,prefire,km,polmun,live,fern,,0.25,,,
2021,KLAMATH010,prefire,km,pteaqu,live,fern,,0.25,,,
2021,KLAMATH010,prefire,km,galtri,live,fb,,0.25,,,
2021,KLAMATH010,prefire,km,prohoo,live,fb,,tr,,,
2021,KLAMATH010,prefire,km,adebic,live,fb,,tr,,,
2021,KLAMATH010,prefire,km,beraqu,live,sh,,0.25,,,
2021,KLAMATH010,prefire,km,iris,live,fb,,tr,,,
2021,KLAMATH010,prefire,km,lyslat,live,fb,,tr,,,
2021,KLAMATH010,prefire,km,vanpla,live,fb,,tr,,,
2021,KLAMATH010,prefire,km,fuzzy rosette,live,fb,,tr,,,
2021,KLAMATH010,prefire,km,viola deltoid,live,fb,,tr,,,
2021,KLAMATH010,prefire,km,viogla,live,fb,,tr,,,
2021,KLAMATH010,prefire,km,achcal,live,fb,,0.5,,,
2021,KLAMATH010,prefire,km,brocar,live,gr,,tr,,,
2021,KLAMATH010,prefire,km,thin lv gr,live,gr,,tr,,,
2021,KLAMATH011,prefire,km,node,live,tr,,,,,
2021,KLAMATH011,prefire,km,acemac,live,tr,tse,0.25,,,
2021,KLAMATH011,prefire,km,umbcal,live,tr,tse,tr,,,
2021,KLAMATH011,prefire,km,psme,live,tr,tse,tr,,,
2021,KLAMATH011,prefire,km,quke,live,tr,tse,0.25,,,
2021,KLAMATH011,prefire,km,quwi,live,tr,tse,0.25,,,
2021,KLAMATH011,prefire,km,arbmen,live,tr,tse,0.5,,,
2021,KLAMATH011,prefire,km,node,live,tr,tre,9,,,
2021,KLAMATH011,prefire,km,acemac,live,tr,tre,0.75,,,
2021,KLAMATH011,prefire,km,umbcal,live,tr,tre,0.5,,,
2021,KLAMATH011,prefire,km,quke,live,tr,tre,0.5,,,
2021,KLAMATH011,prefire,km,quwi,live,tr,tre,0.75,,,
2021,KLAMATH011,prefire,km,arbmen,live,tr,tsa,tr,,,
2021,KLAMATH011,prefire,km,node,live,tr,tsa,0.25,,,
2021,KLAMATH011,prefire,km,psme,live,tr,tsa,0.25,,,
2021,KLAMATH011,prefire,km,node,live,tr,tov,35,,,
2021,KLAMATH011,prefire,km,acemac,live,tr,tov,6,,,
2021,KLAMATH011,prefire,km,psme,live,tr,tov,70,,,
2021,KLAMATH011,prefire,km,quwi,live,tr,tov,3,,,
2021,KLAMATH011,prefire,km,node,dead,tr,tov,3,,,
2021,KLAMATH011,prefire,km,node,dead,tr,tse,0.25,,,
2021,KLAMATH011,prefire,km,node,dead,tr,tsa,1.5,,,
2021,KLAMATH011,prefire,km,quwi,dead,tr,tsa,1,,,
2021,KLAMATH011,prefire,km,quercus,dead,tr,tre,0.25,,,
2021,KLAMATH011,prefire,km,ribroe,live,sh,,0.25,,,
2021,KLAMATH011,prefire,km,ceaint,live,sh,,0.25,,,
2021,KLAMATH011,prefire,km,lonhis,live,sh,,0.25,,,
2021,KLAMATH011,prefire,km,corcorcal,live,sh,,25,,,
2021,KLAMATH011,prefire,km,toxdiv,live,sh,,0.5,,,
2021,KLAMATH011,prefire,km,rubleu,live,sh,,3,,,
2021,KLAMATH011,prefire,km,rubarm,live,sh,,tr,,,
2021,KLAMATH011,prefire,km,rosspi,live,sh,,0.25,,,
2021,KLAMATH011,prefire,km,pteaqu,live,fern,,0.25,,,
2021,KLAMATH011,prefire,km,polmun,live,fern,,0.25,,,
2021,KLAMATH011,prefire,km,lyslat,live,fb,,0.75,,,
2021,KLAMATH011,prefire,km,iris,live,fb,,0.25,,,
2021,KLAMATH011,prefire,km,asahar,live,fb,,0.25,,,
2021,KLAMATH011,prefire,km,galtri,live,fb,,0.25,,,
2021,KLAMATH011,prefire,km,whimod,live,fb,,2,,,
2021,KLAMATH011,prefire,km,osmchi,live,fb,,0.25,black seeds with long hairs,,
2021,KLAMATH011,prefire,km,san,live,fb,,tr,,,
