site,plotid,obs,pre_post_fire,year,species,status,lifeform,layer_code,percent,notes,collected?,,
wilderranch,WIL002,km,prefire,2021,arbmen,live,TR,TSE,0.5,,,,
wilderranch,WIL002,km,prefire,2021,umbcal,live,TR,TSE,0.25,,,,
wilderranch,WIL002,km,prefire,2021,node,live,TR,TSA,16,,,,
wilderranch,WIL002,km,prefire,2021,seqsem,live,TR,TSA,10,,,,
wilderranch,WIL002,km,prefire,2021,quag,live,TR,TSA,0.5,,,,
wilderranch,WIL002,km,prefire,2021,psme,live,TR,TSA,5,,,,
wilderranch,WIL002,km,prefire,2021,seqsem,live,TR,TOV,78,,,,
wilderranch,WIL002,km,prefire,2021,psme,live,TR,TOV,24,,,,
wilderranch,WIL002,km,prefire,2021,arbmen,live,TR,TOV,2,,,,
wilderranch,WIL002,km,prefire,2021,node,live,TR,TOV,3,,,,
wilderranch,WIL002,km,prefire,2021,node,dead,TR,TSA,2,,,,
wilderranch,WIL002,km,prefire,2021,unk,dead,TR,TSA,tr,,,,
wilderranch,WIL002,km,prefire,2021,seqsem,dead,TR,TSE,tr,,,,
wilderranch,WIL002,km,prefire,2021,arbmen,dead,TR,TOV,0.25,,,,
wilderranch,WIL002,km,prefire,2021,seqsem,dead,TR,TOV,4,,,,
wilderranch,WIL002,km,prefire,2021,qu entire,dead,TR,TSE,tr,,,,
wilderranch,WIL002,km,prefire,2021,seqsem,dead,TR,TSA,2,,,,
wilderranch,WIL002,km,prefire,2021,lonhis,live,SH,,tr,,,,
wilderranch,WIL002,km,prefire,2021,corcor,live,SH,,2,,,,
wilderranch,WIL002,km,prefire,2021,toxdiv,live,SH,,6,,,,
wilderranch,WIL002,km,prefire,2021,ruburs,live,SH,,29,,,,
wilderranch,WIL002,km,prefire,2021,symalblae,live,SH,,tr,,,,
wilderranch,WIL002,km,prefire,2021,ileaqu,live,SH,,tr,ilex aquifolium,,,
wilderranch,WIL002,km,prefire,2021,cotpan,live,SH,,tr,,,,
wilderranch,WIL002,km,prefire,2021,rhacal,live,SH,,tr,,,,
wilderranch,WIL002,km,prefire,2021,pteaqu,live,FERN ,,6,,,,
wilderranch,WIL002,km,prefire,2021,dryarg,live,FERN ,,0.25,,,,
wilderranch,WIL002,km,prefire,2021,clidou,live,FB,,1.5,,,,
wilderranch,WIL002,km,prefire,2021,galapa,live,FB,,tr,,,,
wilderranch,WIL002,km,prefire,2021,prohoo,live,FB,,tr,tall and branched,,,
wilderranch,WIL002,km,prefire,2021,gal4,live,FB,,tr,,,,
wilderranch,WIL002,km,prefire,2021,stabul,live,FB,,tr,,,,
wilderranch,WIL002,km,prefire,2021,hedhel,live,FB,,tr,,,,
wilderranch,WIL002,km,prefire,2021,kinky grass,live,GR,,tr,,,,
wilderranch,WIL002,km,prefire,2021,wil carex,live,GR,,3,,,,
wilderranch,WIL002,km,prefire,2021,wil juncus,live,GR,,0.25,no infl,,,
wilderranch,WIL002,km,prefire,2021,glossy lv grass,live,GR,,tr,,,,
wilderranch,WIL002,km,prefire,2021,brocil,live,GR,,tr,,,,
wilderranch,WIL003,km,prefire,2021,seqsem,live,TR,TSE,1.5,,,,
wilderranch,WIL003,km,prefire,2021,node,live,TR,TSE,0.75,,,,
wilderranch,WIL003,km,prefire,2021,arbmen,live,TR,TSE,tr,,,,
wilderranch,WIL003,km,prefire,2021,umbcal,live,TR,TSE,tr,,,,
wilderranch,WIL003,km,prefire,2021,seqsem,live,TR,TSA,6,,,,
wilderranch,WIL003,km,prefire,2021,node,live,TR,TSA,9,,,,
wilderranch,WIL003,km,prefire,2021,psme,live,TR,TSA,0.75,,,,
wilderranch,WIL003,km,prefire,2021,quag,live,TR,TSA,0.5,,,,
wilderranch,WIL003,km,prefire,2021,seqsem,live,TR,TOV,88,,,,
wilderranch,WIL003,km,prefire,2021,node,live,TR,TOV,7,,,,
wilderranch,WIL003,km,prefire,2021,psme,live,TR,TOV,1.5,,,,
wilderranch,WIL003,km,prefire,2021,arbmen,dead,TR,TSA,0.5,,,,
wilderranch,WIL003,km,prefire,2021,arbmen,dead,TR,TSE,tr,,,,
wilderranch,WIL003,km,prefire,2021,seqsem,dead,TR,TSE,0.25,,,,
wilderranch,WIL003,km,prefire,2021,seqsem,dead,TR,TSA,1,,,,
wilderranch,WIL003,km,prefire,2021,node,dead,TR,TOV,2.5,,,,
wilderranch,WIL003,km,prefire,2021,psme,dead,TR,TSA,1.5,,,,
wilderranch,WIL003,km,prefire,2021,seqsem,dead,TR,TOV,15,,,,
wilderranch,WIL003,km,prefire,2021,symalblae,live,SH,,tr,,,,
wilderranch,WIL003,km,prefire,2021,corcor,live,SH,,1,,,,
wilderranch,WIL003,km,prefire,2021,corcor,dead,SH,,tr,,,,
wilderranch,WIL003,km,prefire,2021,ruburs,live,SH,,11,,,,
wilderranch,WIL003,km,prefire,2021,toxdiv,live,SH,,0.5,,,,
wilderranch,WIL003,km,prefire,2021,lonhis,live,SH,,0.5,,,,
wilderranch,WIL003,km,prefire,2021,ceathy,live,SH,,1,,,,
wilderranch,WIL003,km,prefire,2021,dryarg,live,FERN ,,0.25,,,,
wilderranch,WIL003,km,prefire,2021,pteaqu,live,FERN ,,0.5,,,,
wilderranch,WIL003,km,prefire,2021,polmun,live,FERN ,,0.5,,,,
wilderranch,WIL003,km,prefire,2021,stabul,live,FB,,tr,,,,
wilderranch,WIL003,km,prefire,2021,galapa,live,FB,,tr,,,,
wilderranch,WIL003,km,prefire,2021,oxaore,live,FB,,19,,,,
wilderranch,WIL003,km,prefire,2021,lyslat,live,FB,,0.5,,,,
wilderranch,WIL003,km,prefire,2021,triova,live,FB,,tr,,,,
wilderranch,WIL003,km,prefire,2021,epihel,live,FB,,tr,,,,
wilderranch,WIL003,km,prefire,2021,gal4,live,FB,,tr,,,,
wilderranch,WIL003,km,prefire,2021,clidou,live,FB,,tr,,,,
wilderranch,WIL003,km,prefire,2021,lacvir,live,FB,,tr,lactuca virosa,,,
wilderranch,WIL003,km,prefire,2021,mai small,live,FB,,tr,only 1 lv,,,
wilderranch,WIL003,km,prefire,2021,fragaria,live,FB,,tr,,,,
wilderranch,WIL003,km,prefire,2021,glossy lv grass,live,GR,,0.25,,,,
wilderranch,WIL003,km,prefire,2021,elygla,live,GR,,tr,,,,
wilderranch,WIL005,km,prefire,2021,umbcal,live,TR,TSE,0.25,,,,
wilderranch,WIL005,km,prefire,2021,seqsem,live,TR,TSE,0.5,,,,
wilderranch,WIL005,km,prefire,2021,node,live,TR,TSE,4,,,,
wilderranch,WIL005,km,prefire,2021,quwi,live,TR,TSE,0.25,,,,
wilderranch,WIL005,mm,prefire,2021,quwi,dead,TR,TSE,tr,,,,
wilderranch,WIL005,km,prefire,2021,umbcal,live,TR,TSA,6,,,,
wilderranch,WIL005,km,prefire,2021,seqsem,live,TR,TSA,3,,,,
wilderranch,WIL005,km,prefire,2021,node,live,TR,TSA,26,,,,
wilderranch,WIL005,km,prefire,2021,quwi,live,TR,TSA,1,,,,
wilderranch,WIL005,km,prefire,2021,umbcal,live,TR,TOV,24,,,,
wilderranch,WIL005,km,prefire,2021,seqsem,live,TR,TOV,35,,,,
wilderranch,WIL005,km,prefire,2021,quwi,dead,TR,TOV,2,,,,
wilderranch,WIL005,km,prefire,2021,node,dead,TR,TOV,0.25,,,,
wilderranch,WIL005,km,prefire,2021,rhacal,live,SH,,tr,,,,
wilderranch,WIL005,km,prefire,2021,toxdiv,live,SH,,6,,,,
wilderranch,WIL005,km,prefire,2021,ruburs,live,SH,,22,,,,
wilderranch,WIL005,km,prefire,2021,lonhis,live,SH,,tr,,,,
wilderranch,WIL005,km,prefire,2021,corcor,live,SH,,23,,,,
wilderranch,WIL005,km,prefire,2021,pteaqu,live,FERN ,,7,,,,
wilderranch,WIL005,km,prefire,2021,dryarg,live,FERN ,,0.5,,,,
wilderranch,WIL005,km,prefire,2021,polmun,live,FERN ,,0.75,,,,
wilderranch,WIL005,km,prefire,2021,gal4,live,FB,,tr,,,,
wilderranch,WIL005,km,prefire,2021,mai small,live,FB,,0.25,,,,
wilderranch,WIL005,km,prefire,2021,lyslat,live,FB,,tr,,,,
wilderranch,WIL005,km,prefire,2021,galapa,live,FB,,tr,,,,
wilderranch,WIL005,km,prefire,2021,stabul ,live,FB,,0.25,,,,
wilderranch,WIL005,km,prefire,2021,iridou,live,FB,,1,,,,
wilderranch,WIL005,km,prefire,2021,osmchi,live,FB,,tr,,,,
wilderranch,WIL005,km,prefire,2021,clidou,live,FB,,tr,,,,
wilderranch,WIL005,km,prefire,2021,artdou,live,FB,,0.25,,,,
wilderranch,WIL005,km,prefire,2021,vicniggig,live,FB,,1,vicia nigricans ssp gigantea,x,,
wilderranch,WIL005,km,prefire,2021,cyngra,live,FB,,tr,,,,
wilderranch,WIL005,km,prefire,2021,epihel,live,FB,,tr,,,,
wilderranch,WIL005,km,prefire,2021,solame,live,FB,,0.25,"grows large, 0.4cm thick stem, 0.7m h",x,,
wilderranch,WIL005,km,prefire,2021,prohoo,live,FB,,tr,,,,
wilderranch,WIL005,km,prefire,2021,triova,live,FB,,tr,,,,
wilderranch,WIL005,km,prefire,2021,myosotis,live,FB,,2,weedy,x,,
wilderranch,WIL005,km,prefire,2021,asypre,live,FB,,tr,asyneuma prenathoides,x,,
wilderranch,WIL005,km,prefire,2021,wil carex,live,GR,,tr,,,,
wilderranch,WIL005,km,prefire,2021,big pleated carex,live,GR,,0.75,,,,
wilderranch,WIL005,km,prefire,2021,yellow grass,live,GR,,0.25,,,,
wilderranch,WIL006,km,prefire,2021,seqsem,live,TR,TSE,2,,,,
wilderranch,WIL006,km,prefire,2021,umbcal,live,TR,TSE,tr,,,,
wilderranch,WIL006,km,prefire,2021,qu entire,live,TR,TSE,tr,,,,
wilderranch,WIL006,km,prefire,2021,node,live,TR,TSE,0.75,,,,
wilderranch,WIL006,km,prefire,2021,seqsem,live,TR,TSA,2,,,,
wilderranch,WIL006,km,prefire,2021,node,live,TR,TSA,24,,,,
wilderranch,WIL006,km,prefire,2021,psme,live,TR,TSA,1,,,,
wilderranch,WIL006,km,prefire,2021,seqsem,live,TR,TOV,70,,,,
wilderranch,WIL006,km,prefire,2021,umbcal,live,TR,TOV,12,"one tree is down but very a,ive and resprouting",,,
wilderranch,WIL006,km,prefire,2021,node,dead,TR,TSA,2,,,,
wilderranch,WIL006,km,prefire,2021,seqsem,dead,TR,TOV,1,,,,
wilderranch,WIL006,km,prefire,2021,rosgym,live,SH,,0.25,,,,
wilderranch,WIL006,km,prefire,2021,toxdiv,live,SH,,0.5,,,,
wilderranch,WIL006,km,prefire,2021,ruburs,live,SH,,0.5,,,,
wilderranch,WIL006,km,prefire,2021,lonhis,live,SH,,tr,,,,
wilderranch,WIL006,km,prefire,2021,symalblae,live,SH,,tr,,,,
wilderranch,WIL006,km,prefire,2021,corcor,live,SH,,3,,,,
wilderranch,WIL006,km,prefire,2021,corcor,dead,SH,,1,,,,
wilderranch,WIL006,km,prefire,2021,pteaqu,live,FERN ,,0.25,,,,
wilderranch,WIL006,km,prefire,2021,polmun,live,FERN ,,45,,,,
wilderranch,WIL006,km,prefire,2021,dryarg,live,FERN ,,0.25,,,,
wilderranch,WIL006,km,prefire,2021,actrub,live,FB,,0.25,".5m tall, branches",x,,
wilderranch,WIL006,km,prefire,2021,viogla,live,FB,,0.25,,x,,
wilderranch,WIL006,km,prefire,2021,galapa,live,FB,,tr,,,,
wilderranch,WIL006,km,prefire,2021,oxaore,live,FB,,59,oxalis oregana,,,
wilderranch,WIL006,km,prefire,2021,prohoo,live,FB,,tr,,,,
wilderranch,WIL006,km,prefire,2021,adebic,live,FB,,0.25,,,,
wilderranch,WIL006,km,prefire,2021,stabul,live,FB,,0.25,,,,
wilderranch,WIL006,km,prefire,2021,cyngra,live,FB,,tr,,,,
wilderranch,WIL006,km,prefire,2021,lyslat,live,FB,,tr,starflower,,,
wilderranch,WIL006,km,prefire,2021,fragaria,live,FB,,tr,,x,,
wilderranch,WIL006,km,prefire,2021,mai small,live,FB,,tr,,,,
wilderranch,WIL006,km,prefire,2021,epihel,live,FB,,tr,,,,
wilderranch,WIL006,km,prefire,2021,gal4,live,FB,,tr,,,,
wilderranch,WIL006,km,prefire,2021,big pleated carex,live,GR,,0.5,,,,
wilderranch,WIL006,km,prefire,2021,juncus ball,live,GR,,0.25,,,,
wilderranch,WIL006,km,prefire,2021,glossy lv grass,live,GR,,0.25,bulb at base,,,
wilderranch,WIL007,km,prefire,2021,node,live,TR,TSE,7,,,,
wilderranch,WIL007,km,prefire,2021,qu entire,live,TR,TSE,tr,,,,
wilderranch,WIL007,km,prefire,2021,seqsem,live,TR,TSE,1.5,,,,
wilderranch,WIL007,km,prefire,2021,psme,live,TR,TSE,0.5,,,,
wilderranch,WIL007,km,prefire,2021,umbcal,live,TR,TSE,tr,,,,
wilderranch,WIL007,km,prefire,2021,node,live,TR,TSA,5,,,,
wilderranch,WIL007,km,prefire,2021,seqsem,live,TR,TSA,17,,,,
wilderranch,WIL007,km,prefire,2021,psme,live,TR,TSA,1.5,,,,
wilderranch,WIL007,km,prefire,2021,node,live,TR,TOV,2,,,,
wilderranch,WIL007,km,prefire,2021,quwi,live,TR,TOV,30,,,,
wilderranch,WIL007,km,prefire,2021,seqsem,live,TR,TOV,59,,,,
wilderranch,WIL007,km,prefire,2021,umbcal,live,TR,TOV,38,,,,
wilderranch,WIL007,km,prefire,2021,qu entire,dead,TR,TOV,27,lvs too far to tell,,,
wilderranch,WIL007,km,prefire,2021,node,dead,TR,TSE,tr,,,,
wilderranch,WIL007,km,prefire,2021,umbcal,dead,TR,TSE,tr,,,,
wilderranch,WIL007,km,prefire,2021,psme,dead,TR,TSA,0.25,,,,
wilderranch,WIL007,km,prefire,2021,seqsem,dead,TR,TSA,2,,,,
wilderranch,WIL007,km,prefire,2021,corcor,live,SH,,tr,,,,
wilderranch,WIL007,km,prefire,2021,ruburs,live,SH,,3,,,,
wilderranch,WIL007,km,prefire,2021,toxdiv,live,SH,,26,,,,
wilderranch,WIL007,km,prefire,2021,symalblae,live,SH,,1.5,,,,
wilderranch,WIL007,km,prefire,2021,lonhis,live,SH,,tr,,,,
wilderranch,WIL007,km,prefire,2021,pteaqu,live,FERN ,,0.5,,,,
wilderranch,WIL007,km,prefire,2021,polmun,live,FERN ,,tr,,,,
wilderranch,WIL007,km,prefire,2021,gal4,live,FB,,tr,,,,
wilderranch,WIL007,km,prefire,2021,epihel,live,FB,,tr,,,,
wilderranch,WIL007,km,prefire,2021,viooce,live,FB,,tr,viola ocellata,,,
wilderranch,WIL007,km,prefire,2021,galapa,live,FB,,tr,,,,
wilderranch,WIL007,km,prefire,2021,glandular opp,live,FB,,tr,,,,
wilderranch,WIL007,km,prefire,2021,osmchi,live,FB,,tr,,,,
wilderranch,WIL007,km,prefire,2021,polcal,live,FB,,tr,,,,
wilderranch,WIL007,km,prefire,2021,cyngra,live,FB,,tr,cynoglossum grande,,,
wilderranch,WIL007,km,prefire,2021,triova,live,FB,,tr,,,,
wilderranch,WIL007,km,prefire,2021,wil carex,live,GR,,0.25,,,,
wilderranch,WIL007,km,prefire,2021,melcal,live,GR,,tr,,,,
wilderranch,WIL008,km,prefire,2021,seqsem,live,TR,TSE,1.5,,,,
wilderranch,WIL008,km,prefire,2021,umbcal,live,TR,TSE,0.5,,,,
wilderranch,WIL008,km,prefire,2021,qu entire,live,TR,TSE,0.25,,,,
wilderranch,WIL008,km,prefire,2021,node,live,TR,TSE,7,,,,
wilderranch,WIL008,km,prefire,2021,seqsem,live,TR,TSA,9,,,,
wilderranch,WIL008,km,prefire,2021,umbcal,live,TR,TSA,3,,,,
wilderranch,WIL008,km,prefire,2021,qu entire,live,TR,TSA,1,,,,
wilderranch,WIL008,km,prefire,2021,node,live,TR,TSA,12,,,,
wilderranch,WIL008,km,prefire,2021,seqsem,live,TR,TOV,85,,,,
wilderranch,WIL008,km,prefire,2021,umbcal,live,TR,TOV,5,,,,
wilderranch,WIL008,km,prefire,2021,psme,live,TR,TOV,5,,,,
wilderranch,WIL008,km,prefire,2021,arbmen,live,TR,TOV,6,,,,
wilderranch,WIL008,km,prefire,2021,node,live,TR,TOV,5,,,,
wilderranch,WIL008,km,prefire,2021,arbmen,dead,TR,TSA,1,,,,
wilderranch,WIL008,km,prefire,2021,arbmen,dead,TR,TOV,3,,,,
wilderranch,WIL008,km,prefire,2021,node,dead,TR,TOV,5,,,,
wilderranch,WIL008,km,prefire,2021,node,dead,TR,TSE,0.25,,,,
wilderranch,WIL008,km,prefire,2021,seqsem,dead,TR,TSE,0.25,,,,
wilderranch,WIL008,km,prefire,2021,lonhis,live,SH,,0.25,,,,
wilderranch,WIL008,km,prefire,2021,symalblae,live,SH,,tr,,,,
wilderranch,WIL008,km,prefire,2021,toxdiv,live,SH,,tr,,,,
wilderranch,WIL008,km,prefire,2021,ruburs,live,SH,,0.5,,,,
wilderranch,WIL008,km,prefire,2021,rosgym,live,SH,,tr,,,,
wilderranch,WIL008,km,prefire,2021,prohoo,live,FB,,tr,,,,
wilderranch,WIL008,km,prefire,2021,polcal,live,FB,,tr,,,,
wilderranch,WIL009,km,prefire,2021,seqsem,live,TR,TSE,4,,,,
wilderranch,WIL009,km,prefire,2021,node,live,TR,TSE,4,,,,
wilderranch,WIL009,km,prefire,2021,qu entire,live,TR,TSE,tr,,,,
wilderranch,WIL009,km,prefire,2021,umbcal,live,TR,TSE,0.25,,,,
wilderranch,WIL009,km,prefire,2021,seqsem,live,TR,TSA,9,,,,
wilderranch,WIL009,km,prefire,2021,node,live,TR,TSA,34,,,,
wilderranch,WIL009,km,prefire,2021,qu entire,live,TR,TSA,0.25,,,,
wilderranch,WIL009,km,prefire,2021,umbcal,live,TR,TSA,0.75,,,,
wilderranch,WIL009,km,prefire,2021,seqsem,live,TR,TOV,62,,,,
wilderranch,WIL009,km,prefire,2021,node,live,TR,TOV,6,,,,
wilderranch,WIL009,km,prefire,2021,umbcal,live,TR,TOV,13,,,,
wilderranch,WIL009,mm,prefire,2021,node,dead,TR,TOV,6,,,,
wilderranch,WIL009,mm,prefire,2021,umbcal,dead,TR,TOV,0.5,,,,
wilderranch,WIL009,km,prefire,2021,seqsem,dead,TR,TOV,0.5,,,,
wilderranch,WIL009,km,prefire,2021,rosgym,live,SH,,0.25,,,,
wilderranch,WIL009,km,prefire,2021,corcor,live,SH,,0.5,,,,
wilderranch,WIL009,km,prefire,2021,ruburs,live,SH,,0.5,,,,
wilderranch,WIL009,km,prefire,2021,toxdiv,live,SH,,0.5,,,,
wilderranch,WIL009,km,prefire,2021,lonhis,live,SH,,0.25,,,,
wilderranch,WIL009,km,prefire,2021,pteaqu,live,FERN ,,0.25,,,,
wilderranch,WIL009,km,prefire,2021,polmun,live,FERN ,,23,,,,
wilderranch,WIL009,km,prefire,2021,dryarg,live,FERN ,,0.5,,,,
wilderranch,WIL009,km,prefire,2021,oxaore,live,FB,,86,,,,
wilderranch,WIL009,km,prefire,2021,mairac,live,FB,,0.25,big,,,
wilderranch,WIL009,km,prefire,2021,asacau,live,FB,,0.5,,,,
wilderranch,WIL009,km,prefire,2021,triova,live,FB,,0.25,huge,,,
wilderranch,WIL009,km,prefire,2021,stabul,live,FB,,0.25,,,,
wilderranch,WIL009,km,prefire,2021,cliand,live,FB,,0.5,"clintonia andrewsiana, glab, sparse hairs on margin",,,
wilderranch,WIL009,km,prefire,2021,actrub,live,FB,,0.5,actaea rubra,,,
wilderranch,WIL009,km,prefire,2021,lathyrus big,live,FB,,0.25,,,,
wilderranch,WIL009,km,prefire,2021,lyslat,live,FB,,tr,,,,
wilderranch,WIL009,km,prefire,2021,prohoo,live,FB,,tr,branched,,,
wilderranch,WIL011,km,prefire,2021,arbmen,live,TR,TSE,tr,,,,
wilderranch,WIL011,mm,prefire,2021,arbmen,dead,TR,TSE,tr,,,,
wilderranch,WIL011,km,prefire,2021,umbcal,live,TR,TSE,1,,,,
wilderranch,WIL011,km,prefire,2021,psme,live,TR,TOV,6,,,,
wilderranch,WIL011,km,prefire,2021,qu entire,dead,TR,TSE,tr,,,,
wilderranch,WIL011,km,prefire,2021,qu entire,live,TR,TSE,0.5,,,,
wilderranch,WIL011,km,prefire,2021,node,live,TR,TSE,1,,,,
wilderranch,WIL011,km,prefire,2021,seqsem,live,TR,TSE,tr,,,,
wilderranch,WIL011,km,prefire,2021,arbmen,dead,TR,TSA,tr,,,,
wilderranch,WIL011,km,prefire,2021,node,dead,TR,TSA,1,,,,
wilderranch,WIL011,km,prefire,2021,umbcal,dead,TR,TOV,1,,,,
wilderranch,WIL011,km,prefire,2021,arbmen,live,TR,TOV,50,,,,
wilderranch,WIL011,km,prefire,2021,umbcal,live,TR,TSA,47,,,,
wilderranch,WIL011,km,prefire,2021,umbcal,live,TR,TOV,31,,,,
wilderranch,WIL011,km,prefire,2021,qu entire,live,TR,TSA,5,,,,
wilderranch,WIL011,km,prefire,2021,qu entire,live,TR,TOV,46,,,,
wilderranch,WIL011,km,prefire,2021,node,live,TR,TSA,32,,,,
wilderranch,WIL011,km,prefire,2021,seqsem,live,TR,TSA,0.25,,,,
wilderranch,WIL011,km,prefire,2021,seqsem,live,TR,TOV,2.5,,,,
wilderranch,WIL011,km,prefire,2021,arbmen,dead,TR,TOV,3,,,,
wilderranch,WIL011,km,prefire,2021,rosa vine,live,SH,,0.25,,,,
wilderranch,WIL011,km,prefire,2021,corcor,live,SH,,2,,,,
wilderranch,WIL011,km,prefire,2021,toxdiv,live,SH,,0.05,,,,
wilderranch,WIL011,km,prefire,2021,ruburs,live,SH,,0.25,,,,
wilderranch,WIL011,km,prefire,2021,lonhis,live,SH,,0.25,,,,
wilderranch,WIL011,km,prefire,2021,polmun,live,FERN ,,tr,,,,
wilderranch,WIL011,km,prefire,2021,pteaqu,live,FERN ,,1,,,,
wilderranch,WIL011,km,prefire,2021,mairac,live,FB,,0.25,big,,,
wilderranch,WIL011,km,prefire,2021,iridou,live,FB,,tr,,,,
wilderranch,WIL011,km,prefire,2021,mairac small ?,live,FB,,tr,ovate,,,
wilderranch,WIL011,km,prefire,2021,dryarg,live,FERN ,,0.5,,,,
wilderranch,WIL011,km,prefire,2021,clidou,live,FB,,tr,,,,
wilderranch,WIL011,km,prefire,2021,stabul,live,FB,,tr,,,,
wilderranch,WIL011,km,prefire,2021,gal4,live,FB,,tr,,,,
wilderranch,WIL011,km,prefire,2021,actrub,live,FB,,tr,,,,
wilderranch,WIL011,km,prefire,2021,triova,live,FB,,tr,,,,
wilderranch,WIL011,km,prefire,2021,wil carex,live,GR,,0.25,,,,
wilderranch,WIL012,km,prefire,2021,umbcal,live,TR,TSE,3,,,,
wilderranch,WIL012,km,prefire,2021,seqsem,live,TR,TSE,1,,,,
wilderranch,WIL012,km,prefire,2021,qu entire,live,TR,TSE,tr,,,,
wilderranch,WIL012,km,prefire,2021,umbcal,live,TR,TSA,28,,,,
wilderranch,WIL012,km,prefire,2021,seqsem,live,TR,TSA,3,,,,
wilderranch,WIL012,km,prefire,2021,umbcal,live,TR,TOV,37,,,,
wilderranch,WIL012,km,prefire,2021,seqsem,live,TR,TOV,40,,,,
wilderranch,WIL012,km,prefire,2021,fraxinus,live,TR,TOV,3,,,,
wilderranch,WIL012,km,prefire,2021,rubpar,live,SH,,2,,,,
wilderranch,WIL012,km,prefire,2021,toxdiv,live,SH,,0.25,,,,
wilderranch,WIL012,km,prefire,2021,ruburs,live,SH,,10,,,,
wilderranch,WIL012,km,prefire,2021,corcor,live,SH,,22,,,,
wilderranch,WIL012,km,prefire,2021,polmun,live,FERN ,,9,,,,
wilderranch,WIL012,km,prefire,2021,pteaqu,live,FERN ,,0.25,,,,
wilderranch,WIL012,km,prefire,2021,dryarg,live,FERN ,,0.25,,,,
wilderranch,WIL012,km,prefire,2021,pentri,live,FERN ,,tr,,,,
wilderranch,WIL012,km,prefire,2021,oxaore,live,FB,,46,,,,
wilderranch,WIL012,km,prefire,2021,adebic,live,FB,,tr,,,,
wilderranch,WIL012,km,prefire,2021,asacau,live,FB,,0.25,,,,
wilderranch,WIL012,km,prefire,2021,clidou,live,FB,,tr,,,,
wilderranch,WIL012,km,prefire,2021,osmchi,live,FB,,0.25,,,,
wilderranch,WIL012,km,prefire,2021,galapa,live,FB,,tr,,,,
wilderranch,WIL012,km,prefire,2021,iridou,live,FB,,0.25,,,,
wilderranch,WIL012,km,prefire,2021,stabul,live,FB,,0.25,,,,
wilderranch,WIL012,km,prefire,2021,lathyrus small,live,FB,,tr,,,,
