site,year,plotid,obs,species,status,lifeform,layer_code,percent,notes,pre_post_fire,postTime
odell,2022,Odell003,AG,qudo,live,TR,TOV,2,blue oak,prefire,NA
odell,2022,Odell003,AG,quch,live,TR,TSE,tr,,prefire,NA
odell,2022,Odell003,AG,quke,live,TR,TOV,15,,prefire,NA
odell,2022,Odell003,AG,quke,live,TR,TSA,tr,,prefire,NA
odell,2022,Odell003,AG,quke,dead,TR,TSE,tr,,prefire,NA
odell,2022,Odell003,AG,fracal,live,SH,,tr,,prefire,NA
odell,2022,Odell003,AG,lonicera,live,SH,,tr,,prefire,NA
odell,2022,Odell003,AG,lathryus,live,FB,,tr,,prefire,NA
odell,2022,Odell003,AG,sancra,live,FB,,0.5,,prefire,NA
odell,2022,Odell003,AG,torilis,live,FB,,0.25,,prefire,NA
odell,2022,Odell003,AG,cyec,live,GR,,tr,,prefire,NA
odell,2022,Odell003,AG,fescue,live,GR,,tr,,prefire,NA
odell,2022,Odell003,AG,pentri,live,FERN,,tr,,prefire,NA
odell,2022,Odell003,AG,chopom,live,FB,,tr,,prefire,NA
odell,2022,Odell003,AG,stemed,live,FB,,0.5,,prefire,NA
odell,2022,Odell003,AG,senecio,live,FB,,tr,maybe??,prefire,NA
odell,2022,Odell003,AG,nemophili,live,FB,,tr,,prefire,NA
odell,2022,Odell003,AG,galapa,live,FB,,tr,,prefire,NA
odell,2022,Odell003,AG,caroli,live,FB,,tr,,prefire,NA
odell,2022,Odell003,AG,grassrobust,live,GR,,1,,prefire,NA
odell,2022,Odell003,AG,grassunksmal,live,GR,,5,,prefire,NA
odell,2022,Odell003,AG,polypodium,live,FERN,,tr,,prefire,NA
odell,2022,Odell003,AG,elygla,live,GR,,tr,,prefire,NA
odell,2022,Odell004,AG,pipo,live,TR,TOV,9,,prefire,NA
odell,2022,Odell004,AG,quwe,live,TR,TOV,30,,prefire,NA
odell,2022,Odell004,AG,quwi,live,TR,TSE,tr,,prefire,NA
odell,2022,Odell004,AG,quwi,live,TR,TSA,0.25,,prefire,NA
odell,2022,Odell004,AG,quch,live,TR,TOV,1,,prefire,NA
odell,2022,Odell004,AG,aeca,live,TR,TSE,tr,,prefire,NA
odell,2022,Odell004,AG,hear,live,SH,,tr,,prefire,NA
odell,2022,Odell004,AG,lonicera,live,SH,,tr,,prefire,NA
odell,2022,Odell004,AG,fracal,live,SH,,1,,prefire,NA
odell,2022,Odell004,AG,toxdiv,live,SH,,tr,,prefire,NA
odell,2022,Odell004,AG,symmol,live,SH,,tr,,prefire,NA
odell,2022,Odell004,AG,stemed,live,FB,,tr,,prefire,NA
odell,2022,Odell004,AG,cytsco,live,FB,,tr,cytisus scoparius scotch broom,prefire,NA
odell,2022,Odell004,AG,sancra,live,FB,,0.1,,prefire,NA
odell,2022,Odell004,AG,lathryus,live,FB,,tr,nevadensis,prefire,NA
odell,2022,Odell004,AG,centaurea,live,FB,,tr,,prefire,NA
odell,2022,Odell004,AG,nemhet,live,FB,,1,nemophila,prefire,NA
odell,2022,Odell004,AG,torilis,live,FB,,10,,prefire,NA
odell,2022,Odell004,AG,senecio,live,FB,,tr,,prefire,NA
odell,2022,Odell004,AG,santub,live,FB,,tr,maybe sanicula tuberosa,prefire,NA
odell,2022,Odell004,AG,geranium,live,FB,,0.5,,prefire,NA
odell,2022,Odell004,AG,caroli,live,FB,,tr,,prefire,NA
odell,2022,Odell004,AG,chopom,live,FB,,tr,,prefire,NA
odell,2022,Odell004,AG,grassrobust,live,GR,,tr,,prefire,NA
odell,2022,Odell004,AG,cyec,live,GR,,tr,,prefire,NA
odell,2022,Odell004,AG,brocar,live,GR,,tr,,prefire,NA
odell,2022,Odell004,AG,grassunksmell,live,GR,,5,,prefire,NA
odell,2022,Odell004,AG,elygla,live,GR,,tr,,prefire,NA
odell,2022,Odell002,HS,pinpon,live,TR,,35,,prefire,NA
odell,2022,Odell002,HS,quwi,live,TR,,tr,,prefire,NA
odell,2022,Odell002,HS,quch,,TR,,tr,,prefire,NA
odell,2022,Odell002,HS,aeca,,TR,,tr,,prefire,NA
odell,2022,Odell002,HS,arvi,,SH,,tr,,prefire,NA
odell,2022,Odell002,HS,ceacun,,SH,,tr,,prefire,NA
odell,2022,Odell002,HS,toxdiv,,SH,,tr,,prefire,NA
odell,2022,Odell002,HS,hetarb,,SH,,tr,,prefire,NA
odell,2022,Odell002,HS,fracal,,SH,,tr,,prefire,NA
odell,2022,Odell002,HS,symmol,,SH,,tr,,prefire,NA
odell,2022,Odell002,HS,crypantha,,FB,,tr,,prefire,NA
odell,2022,Odell002,HS,hypgla,,FB,,tr,,prefire,NA
odell,2022,Odell002,HS,sancra,,FB,,tr,,prefire,NA
odell,2022,Odell002,HS,lathryus,,FB,,3,,prefire,NA
odell,2022,Odell002,HS,torilis,,FB,,5,,prefire,NA
odell,2022,Odell002,HS,pentri,,FB,,tr,,prefire,NA
odell,2022,Odell002,HS,iris,,FB,,tr,,prefire,NA
odell,2022,Odell002,HS,trifolium,,FB,,tr,,prefire,NA
odell,2022,Odell002,HS,galpor,,FB,,tr,,prefire,NA
odell,2022,Odell002,HS,vicia,,FB,,1,,prefire,NA
odell,2022,Odell002,HS,germol,,FB,,tr,,prefire,NA
odell,2022,Odell002,HS,elygla,,GR,,35,,prefire,NA
odell,2022,Odell002,HS,grassunksmall,,GR,,45,,prefire,NA
odell,2022,Odell005,HS,cynech,,GR,,3,,prefire,NA
odell,2022,Odell005,HS,quke,,TR,,60,,prefire,NA
odell,2022,Odell005,HS,quch,,TR,,12,,prefire,NA
odell,2022,Odell005,HS,pinpon,,TR,,3,,prefire,NA
odell,2022,Odell005,HS,quwi,,TR,,8,,prefire,NA
odell,2022,Odell005,HS,fracal,,SH,,tr,,prefire,NA
odell,2022,Odell005,HS,vicia,,FB,,20,,prefire,NA
odell,2022,Odell005,HS,lathryus,,FB,,15,,prefire,NA
odell,2022,Odell005,HS,torilis,,FB,,5,,prefire,NA
odell,2022,Odell005,HS,crypantha,,FB,,tr,,prefire,NA
odell,2022,Odell005,HS,galpor,,FB,,tr,,prefire,NA
odell,2022,Odell005,HS,stemed,,FB,,0.5,,prefire,NA
odell,2022,Odell005,HS,sancra,,FB,,2,,prefire,NA
odell,2022,Odell005,HS,galapa,,FB,,tr,,prefire,NA
odell,2022,Odell005,HS,santub,,FB,,tr,,prefire,NA
odell,2022,Odell005,HS,agoceris,,FB,,tr,,prefire,NA
odell,2022,Odell005,HS,galtri,,FB,,tr,,prefire,NA
odell,2022,Odell005,HS,elygla,,GR,,18,,prefire,NA
odell,2022,Odell005,HS,grassunksmall,,GR,,2,,prefire,NA
odell,2022,Odell005,HS,cynech,,GR,,5,,prefire,NA
