1,Date,Plot ID,Observers,X,Y,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),1.8m> SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),CONES% / dom spp.,Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,RD,BURN PILE,Total Ground Cover (%) ,History,NOTES
22,8/17/2021,VR16,"km, mm",,,no,0 - unburned,7,21,LL,LL,"pije, abco, pico",10,190,788,47,37,37,tr,0.3,33,37,4.5,3,0.5,0.6,0,na,9.75,0.7,tr,0.4,0,na,8.75,0.7,9.75,0.5,0.25,0.05,0.5,0.2,0.25,94.25,0,0,3.5,".25, pije",0.5,tr,0.5,0.75,0,0,0,99.75,,
13,8/12/2021,VR16N,"ag, mm, km",,,no,0 - unburned,8,40,LL,LL,"abco, pico, abma",6.8,40,71,28,28,22,3,23,28,22,tr,1.7,tr,0.05,0,na,tr,0.08,0,na,0,na,0,na,tr,0.08,tr,0.05,tr,0.1,0.5,92,0,0,1,"4, pico",0.5,0,tr,2,0,0,0,96,,
44,8/19/2021,VR1N,"sb, mm",,,no,0 - unburned,45,181,LL,LL,"abma, pimo, pico",7.3,190,490,40,35,15,4,15.8,35,15,0.5,2.7,tr,0.25,0,na,0.5,0.23,tr,0.6,0,na,0,na,0.5,0.23,0.25,0.07,9,0.17,6,73.5,0,0,18,0.25,0.5,tr,0.25,1.5,0,0,0,100,,
41,8/19/2021,VR2,"sb, mm",,,no,0 - unburned,61,8,LL,LL,"pimo, abma, abco",2.4,222,442,33,30,10,2.5,19.2,29,10,0.5,2.5,1,0.2,0,na,0.75,0.08,tr,0.4,0,na,0,na,0.75,0.08,0.75,0.08,3,0.18,5,49.75,0,0,8.25,0.75 pimo,30,1,3,2.25,tr,0,0,99.25,,.75 pimo cones
42,8/19/2021,VR20,"sb, mm",,,no,0 - unburned,22,36,LL,LL,"pimo, abma, pico",4.5,181,857,54,53,21,2.5,22.8,53,21,0,na,tr,0.025,0,na,0.25,0.45,0,na,0,na,0,na,0.25,0.45,0.25,0.02,2,0.25,7,76.5,0,0,4.5,4.5 pimo,2.25,0.25,0.5,2.5,tr,0,2,95.5,,3.25% of the 7% total bare soil was from a track from heavy machinery
31,8/19/2021,VR20N,"km, mv",,,no,0 - unburned,10,354,LL,LL,"abma, pico, pije",9.5,185,1242,33,32,17,1.5,15,32,17,0,na,0.25,0.1,0,na,0,na,0,na,0,na,0,na,0,na,tr,0.1,2,0.2,tr,94.25,tr,0,2,".5, pico",1,0.25,0.25,1,0,0,0.75,99.5,,
16,8/12/2021,VR21,"ag, mm, km",,,no,0 - unburned,18,49,LL,LL,"pico, abma, pije",9.5,201,955,32,30,27,1,21.8,30,27,0,na,0.5,0.5,0,na,0.5,0.5,0,na,0,na,0.25,0.6,0.5,0.5,0.25,0.1,12,0.3,tr,96,tr,0,0.5,tr,1,0.25,tr,0.75,tr,tr,1.5,100,,
19,8/13/2021,VR21N,"km, mm",,,no,0 - unburned,18,53,LL,LL,"pico, abma, pimo",3.5,210,1206,34,33,27,2.75,,33,27,0,na,tr,0.1,0,na,0.25,0.4,0,na,0,na,tr,0.6,0.25,0.4,0.75,0.1,1,0.3,0.5,84,0,0,4,".25, pico",2.5,0.25,tr,1.5,0,0,7,99.75,Couldnt find rebar but placed new center where all tags faced and aligned with tree data. many stumps,
8,8/11/2021,VR22,"ag, mm, km",,,no,0 - unburned,12,59,LL,LL,"abma, pico, pije",7.55,221,343,35,35,5,0,na,35,5,0.5,3,1,0.8,0,na,0.75,1,0,na,0,na,0.75,1,0.75,0.5,0.25,0.1,3,0.1,12,76.5,0,0,2,tr,5,tr,1,0.5,0,0,3,100,,
35,8/20/2021,VR22N,"km, mv",,,no,0 - unburned,8,0,LL,LL,"pico, alnus, abma, urtdio",9.5,357,1086,98,42,3,3.5,3,38,3,2,1.8,5.5,1,80,3.4,95,3.4,0,na,79,3.4,80,1.8,95,0.5,78,1.8,75,1.5,tr,82.25,0,0,14,".25, pico",0,tr,tr,3,0.5,0,0,99.75,,witness tree not 1st tree because it would be hidden in alder.  high basal veg from horizontal alter on ground
24,8/17/2021,VR23,"km, mm, mv",,,no,0 - unburned,22,30,LL,LL,"abco, abma, pico",8.2,215,278,93,85,34,1.75,0.8,80,34,4,1.6,3,0.8,0,na,3.25,0.6,0,na,1,2,2.75,0.6,3.75,0.5,1.25,0.5,8,0.8,0.25,75.75,0,0,18,0.5,2,1,0.5,2,0,0,0,100,,
23,8/17/2021,VR24,"km, mm",,,no,0 - unburned,330,11,LL,LL,"abco, pico, abma",9.6,202,152,22,20.5,17,tr,0.3,20,17,tr,1.5,0.5,0.5,0,na,1,0.3,0,na,0,na,tr,0.55,1,0.3,tr,0.05,0.5,0.3,tr,94.5,0,0,2,".25, pico",1,0.5,0.25,1,0,0,0,99.25,,
46,8/20/2021,VR24N,"sb, mm",,,no,0 - unburned,28,20,LL,LL,"pico, abco, abma",11,260,1056,90,30.5,25,7,10.5,30,25,0,na,0.5,0.08,0,na,70,2.8,1,1,50,2.8,69,1.8,70,0.5,12,0.15,16,0.81,1,95.5,0,0,1,tr,0,0,tr,2,0.5,0,0,100,,"riparian area w streams running thru plot, water drop is into the plot center"
14,8/12/2021,VR25,"ag, mm, km",,,no,0 - unburned,9,18,LL,LL,"abco, pico, abma",4,190,61,86,86,19,1,9,86,19,0.25,3,0,na,0,na,0,na,0,na,0,na,0,na,0,na,tr,0.1,tr,0.1,tr,93,0,0,1,2,1.5,0,tr,2.5,0,0,0,100,,heavy abma beetle kill stand just north of plot
4,8/10/2021,VR25N,"ag, mm, km",,,no,0 - unburned,6,25,UN,UN,"abco, pico, pije",6.2,3,1016,80,80,19,0.25,,80,19,0,na,0.5,0.7,0,na,tr,0.1,0,na,0,na,0,na,tr,0.1,0.25,0.1,0.25,0.2,tr,87.5,0,0,6,1,4,tr,tr,1.5,0,0,0,100,,ephemeral creek?
21,8/17/2021,VR25S,"km, mm",,,no,0 - unburned,8,44,LL,LL,"abco, pije, pico",10.2,185,137,21,20,16,0,na,20,16,0,na,0,na,0,na,tr,0.2,0,na,0,na,0,na,tr,0.2,0.25,0.1,1.25,0.2,0.5,95.75,0.25,0,2,".5, pije",tr,0,0.25,0.75,0,0,0,99.5,old trail runs through plot (3%),
11,8/12/2021,VR26,"ag, mm, km",,,no,0 - unburned,8,333,LL,LL,"abco, pico, arttri",1.8,63,200,36,25,21,0,na,25,21,0,na,tr,0.3,0,na,11,0.7,0,na,0,na,7,0.7,11,0.5,0.3,0.1,tr,0.1,50,40.75,0,0,tr,.25 pico,8,0.5,tr,0.5,0,tr,0,99.75,,.25 pico cones
11.5,8/10/2021,VR26N,"ag, km, sb, mm",,,no,0 - unburned,4,325,LL,LL,"pico, abco, pije",5.5,185,192,37,35.5,23,5,31.8,35,23,0,na,0.5,1,0,na,1,0.4,0,na,0,na,0,na,1,0.4,tr,0.05,1,0.1,0.5,95.25,0,0,3,tr pico,0.25,0,tr,1,tr,0,0,100,,trail from loader goes thru plot
12,8/12/2021,VR26S,"ag, mm, km",,,no,0 - unburned,8,345,LL,LL,"abco, pico, pije",9,178,114,14,13,13,0,na,13,13,0,na,tr,0.3,0,na,0.25,0.2,0,na,0,na,0,na,0.25,0.2,0.75,0.1,0.75,0.1,54.25,44,tr,0,tr,tr,1,0,tr,0.75,0,0,0,100,,
32,8/19/2021,VR29,"km, mv",,,no,0 - unburned,15,322,LL,LL,"abma, pico, potr",9,184,923,60,45,13,5,22,45,13,1.25,2.7,0.5,0.05,17,2.8,17,2.8,0,na,17,2.8,17,1.8,17,0.5,2.25,0.6,2.25,0.5,tr,89.5,tr,0,8,".5, pico",0,tr,tr,2,0,0,0,99.5,,
43,8/19/2021,VR2N,"sb, mm",,,no,0 - unburned,56,28,LL,LL,"abma, abco, pimp",11,195,414,57,65.25,7,2,15.2,65,7,0.25,1.5,0.25,0.14,0,na,0.5,0.09,0,na,0,na,0,na,0.5,0.09,0.75,0.05,1.5,0.13,4,79.5,0,0,7,0.25 pimo,6,0.75,0.5,2,tr,0,0,99.75,,.25 pimo cones
18,8/13/2021,VR30,"km, mm",,,no,0 - unburned,16,104,LL,LL,"abma, pije, quevac",10,182,613,25,15,21,0,na,15,21,0,na,tr,0.1,0,na,6.5,1.6,0,na,0.75,1.9,5.75,1.6,6.5,0.5,0.75,0.1,4,0.15,1,81.25,0,0,11,".25, pije",2,1,0.75,0.75,0,0,2,99.75,,
17,8/13/2021,VR30N,"km, mm",,,no,0 - unburned,15,30,LL,LL,"pico, abco, abma",6.7,262,615,29,22,19,6,19,21,19,0,na,1.25,0.1,0,na,5.25,0.9,0,na,0,na,4.75,0.9,5.25,0.5,1.5,0.2,0.25,0.2,tr,85.5,0,0,6,0.5,6,0.5,tr,1.5,0,0,0,100,,
26,8/18/2021,VR31,"km, mv",,,no,0 - unburned,11,81,LL,LL,"abco, pico, potr",7.8,231,966,99,75,41,1.5,28.9,72,41,7.25,3.3,1.25,0.5,2,1,63,0.7,0,na,23,3.4,59,0.7,63,0.5,14,0.5,22,1.1,tr,94.25,0,0,2.5,tr,1.25,0.5,tr,1.5,tr,0,0,100,,
7,8/11/2021,VR31N,"ag, mm, km",,,no,0 - unburned,11,150,LL,LL,"abco, pico, potr",5,215,576,70,50,24,2,15.6,50,24,4,3,0.5,0.5,0,na,4,0.3,0,na,1,4,1,1.8,4,0.3,33,0.4,5,1,tr,88.75,0,0,6,0.25,2,tr,tr,1,0,0,2,100,,burn pile 2% cover
38,8/18/2021,VR33,"sb, mm",,,no,0 - unburned,20,90,LL,LL,"pico, abco, abma",8,190,632,80,77,4,0.75,5,74,4,6.5,3.5,1.25,8,0,na,6.75,0.27,0,na,0,na,1,0.55,6.75,0.27,1.75,0.23,1.25,1.3,3.5,84,0,0,6.5,0.75 pico,0,tr,tr,2,tr,0,0,96,,4% water from creek
37,8/20/2021,VR33N,"km, mv, sb, mm",,,no,0 - unburned,13,10,UN ,CC,"potr, pico, abco",9,177,990,90,33,5,0.25,3.1,27,5,6.25,2.1,5,0.9,1.5,0.5,55.5,3.2,0,na,33.25,3.2,46.25,1.8,55.5,0.5,19,0.15,23,1.1,2.5,84,0,0,12,tr,0,0,tr,1.5,tr,0,0,100,,"hornet nest at north transect at meter mark 19, slope goes from south side to center because of drainage at center"
37.5,8/10/2021,VR34,"ag, km, mm",,,no,0 - unburned,6,314,LL,LL,"pico, abco, pottr",11,303,664,98,35,17,0.25,17.4,35.25,17,0.25,,tr,0.15,0,na,10,0.5,0,na,0,na,0,na,10,0.5,25,1.2,60,1,0.5,96.25,0.25,0,2,tr,0,0,tr,1,tr,0,0,100,,
3,8/10/2021,VR35,"ag, mm, km, sb",,,no,0 - unburned,6,330,LL,LL,"pico, abco, pije",7,215,225,60,60,16,tr,9,60,16,0.25,1.4,tr,0.02,0,na,1,1,0,na,0,na,1,1,1,0.5,tr,0.05,2,0.2,tr,82,0.25,0,5,.25 pico,10,1,tr,1.5,tr,0,0,99.75,,0.25 from pico cones
2,8/9/2021,VR35N,"ag, mm, km, sb",,,no,0 - unburned,8,350,LL,LL,"abco, pico, potr",6.8,198,246,87,75,26,5,17.4,75,26,0.5,3,1,0.5,0,na,1,0.4,0,na,0,na,tr,0.6,1,0.4,38,0.3,5,0.6,tr,95,0,0,3,tr,0,tr,tr,2,tr,0,0,100,,
39,8/18/2021,VR3N,"sb, mm",,,no,0 - unburned,51,40,LL,LL,"abma, abco, pico",9,188,396,41,40,51.4,4,22.6,40,51.4,0,na,0.25,0.05,0,na,2.5,0.19,0,na,0,na,0.25,0.52,2.5,0.19,1.25,0.09,4.25,0.52,1,84.5,0,0,12.5,tr,0.25,tr,tr,1.75,tr,0,0,100,,
28,8/18/2021,VR4,"km, mv",,,no,0 - unburned,27,30,LL,LL,"abco, potr, pico",8.55,205,369,40,29.5,32,5,39,27,32,2.5,3.4,0.25,0.1,0,na,22.25,0.3,0,na,0,na,0.25,0.55,22.25,0.3,0.75,0.1,0.75,0.3,tr,92.25,0,0,2,tr,2.5,0.25,0.5,1,0,0,1.5,100,,
6,8/11/2021,VR40,"ag, mm, km",,,no,0 - unburned,8,140,LL,LL,"pije, abco, abma",5.5,218,544,46,43,22,0.5,0.4,41,22,2,1.6,2.5,0.8,0,na,4.5,0.7,0,na,0,na,4,0.7,4.5,0.5,0.5,0.1,4,0.3,0.75,89,0,0,6,tr,0,0,tr,1.25,0,0,3,100,,burn pile 3% cover 
5,8/11/2021,VR40E,"ag, mm, km",,,no,0 - unburned,15,100,LL,LL,"abco, abma, pije",9.5,222,573,55,40,20,tr,0.2,40,20,0,na,0.25,0.1,0,na,8,0.5,0,na,0,na,1,0.6,8,0.5,5,0.2,2,0.3,0.5,86.5,0,0,2.5,3,0,0,tr,1.5,0,0,6,100,,
45,8/20/2021,VR43,"sb, mm",,,no,0 - unburned,1,314,LL,LL,"potr, abco, pico",4.5,198,681,97.5,76.5,13,3.5,7.5,75,13,12.2,1.7,5.5,0.5,0.5,0.6,21.25,0.7,1.25,0.4,3.25,2.4,17.25,0.7,21.25,0.5,35,0.33,20.5,1.3,0.5,94,0,0,3.5,0,0,0,tr,2,tr,0,0,100,,
10,8/11/2021,VR4N,"ag, mm, km",,,no,0 - unburned,18,18,LL,LL,"abco, pico, potr",9,275,358,50,25,37,tr,0.4,25,37,0,na,1.5,0.6,0,na,12,0.5,0,na,0,na,2,0.6,12,0.5,8.5,0.5,4.5,0.4,3,53.5,tr,0,6,0.5,1,tr,tr,1,0,35,tr,100,,road crosses NW to NE of plot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
