site,year,plot_id,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
bearmtn,2019,BM13,180,0,2,2,4,11.3,3,3,0,0,0.05,0,0.05,
bearmtn,2019,BM13,90,0,2,2,4,11.3,2,0,0,0,0.05,0,1,
bearmtn,2019,BM13,270,0,2,2,4,11.3,1,4,0,0,2,0,0.05,
bearmtn,2019,BM14,0,0,2,2,4,11.3,20,3,0,0.05,0.05,0.05,1.5,
bearmtn,2019,BM14,180,20,2,2,4,11.3,5,1,1,0,0,0,2,
bearmtn,2019,BM14,90,0,2,2,4,11.3,1,1,0,0,0.05,0,0.05,
bearmtn,2019,BM14,270,0,2,2,4,11.3,2,0,0,0,0.05,0.05,1,
bearmtn,2019,BM15,0,27,2,2,4,11.3,1,8,1,0.05,1,0,0.5,
bearmtn,2019,BM15,180,0,2,2,4,11.3,8,3,0,0.5,0.5,0,0,
bearmtn,2019,BM15,90,0,2,2,4,11.3,16,3,2,2,1,0.05,2.5,
bearmtn,2019,BM15,270,0,2,2,4,11.3,5,1,0,0,0.05,0.05,3,
bearmtn,2019,BM16,0,0,2,2,4,11.3,2,0,2,0.5,1.5,0,0,
bearmtn,2019,BM16,180,0,2,2,4,11.3,4,2,0,0.05,2,0.05,1,
bearmtn,2019,BM16,90,0,2,2,4,11.3,0,1,2,1,3,0,1,
bearmtn,2019,BM16,270,0,2,2,4,11.3,19,3,1,1.5,2,0.05,1,
bearmtn,2019,BM17,0,0,2,2,4,11.3,0,1,6,0,0,0,0,
bearmtn,2019,BM17,180,0,2,2,4,11.3,0,1,0,0,0.05,0,0,
bearmtn,2019,BM17,90,32,2,2,4,11.3,1,0,0,0,2.5,0,0,
bearmtn,2019,BM17,270,32,2,2,4,11.3,0,1,0,0,3,1,1,
bearmtn,2019,BM18,0,0,2,2,4,11.3,7,2,0,0.05,1.5,1,1,
bearmtn,2019,BM18,180,0,2,2,4,11.3,2,2,0,0,0,0.5,3,
bearmtn,2019,BM18,90,0,2,2,4,11.3,8,3,6,0,0,3,1,
bearmtn,2019,BM18,270,0,2,2,4,11.3,6,0,0,0,3,3,0.5,
bearmtn,2019,BM19,0,0,2,2,4,11.3,0,0,0,0,0,0,0,
bearmtn,2019,BM19,180,0,2,2,4,11.3,0,3,0,0,2,0,3,
bearmtn,2019,BM19,90,0,2,2,4,11.3,3,0,0,0,2,0,0.5,
bearmtn,2019,BM19,270,0,2,2,4,11.3,0,0,0,0,0,0,0,
bearmtn,2019,BM20,0,21,2,2,4,11.3,7,7,5,0,1,0.05,1.5,
bearmtn,2019,BM20,180,20,2,2,4,11.3,7,1,3,0,1.5,0,0.05,
bearmtn,2019,BM20,90,0,2,2,4,11.3,3,2,0,0,1,0,0,
bearmtn,2019,BM20,270,0,2,2,4,11.3,2,2,0,0,1,0,0,
bearmtn,2019,BM21,0,0,2,2,4,11.3,6,1,3,1,2.5,1,1,
bearmtn,2019,BM21,180,0,2,2,4,11.3,5,0,0,1,2.5,1,1,
bearmtn,2019,BM21,90,0,2,2,4,11.3,5,0,0,2,1,0.5,0.5,
bearmtn,2019,BM21,270,0,2,2,4,11.3,2,0,0,0,1.5,0.05,0.05,
bearmtn,2019,BM22,0,0,2,2,4,11.3,0,0,1,0,0,0,0,
bearmtn,2019,BM22,180,0,2,2,4,11.3,5,3,1,0,0,0,0,
bearmtn,2019,BM22,90,0,2,2,4,11.3,45,15,5,0.05,0.05,0,1.5,
bearmtn,2019,BM22,270,0,2,2,4,11.3,2,4,1,0.05,2,1,1,
bearmtn,2019,BM23,0,0,2,2,4,11.3,2,1,0,1.5,2,0,0.05,
bearmtn,2019,BM23,180,0,2,2,4,11.3,7,4,0,0,0.05,0,0.05,
bearmtn,2019,BM23,90,0,2,2,4,11.3,0,0,0,0,0,0,0,
bearmtn,2019,BM23,270,0,2,2,4,11.3,0,5,1,0,0.05,0,1,
bearmtn,2019,BM24,0,0,2,2,4,11.3,0,0,0,0,0,0,0.05,
bearmtn,2019,BM24,180,0,2,2,4,11.3,1,1,0,0,0.5,0.05,1,
bearmtn,2019,BM24,90,0,2,2,4,11.3,1,2,0,0,1,0,1,
bearmtn,2019,BM24,270,0,2,2,4,11.3,0,0,0,0,0.05,0,1,
bearmtn,2019,BM25,0,0,2,2,4,11.3,1,0,0,0,0.05,0,0,
bearmtn,2019,BM25,180,0,2,2,4,11.3,0,0,0,0,0,0,0,
bearmtn,2019,BM25,90,0,2,2,4,11.3,2,1,0,0,0.05,0,0,
bearmtn,2019,BM25,270,0,2,2,4,11.3,0,0,0,0,0,0,0.05,
bearmtn,2019,BM26,0,0,2,2,4,11.3,4,3,5,0,0,0,0,
bearmtn,2019,BM26,180,0,2,2,4,11.3,0,0,0,0,0.05,0,0.05,
bearmtn,2019,BM26,90,0,2,2,4,11.3,6,7,1,0.05,1,0,0.05,
bearmtn,2019,BM26,270,0,2,2,4,11.3,6,3,0,0.05,1,0,0,
bearmtn,2019,BM27,0,0,2,2,4,11.3,0,0,1,0,0,0,3,
bearmtn,2019,BM27,180,0,2,2,4,11.3,1,3,0,1,1,0,0,
bearmtn,2019,BM27,90,0,2,2,4,11.3,2,1,0,0,2,0,4,
bearmtn,2019,BM27,270,0,2,2,4,11.3,2,1,2,0,0,0,0.05,
