site,year,plot_id,azimuth,slope,x1h_length,x10h_length,x100h_length,x1000h_length,1hr,10hr,100hr,duff1,litter1,duff2,litter2,Notes:
frenchmeadows,2019,FM10-3,E,,2,2,4,11.3,62,19,2,1,0.5,7,3,
frenchmeadows,2019,FM10-3,W,,2,2,4,11.3,43,11,2,2,2,6,2,
frenchmeadows,2019,fm10-4,N,,2,2,4,11.3,77,15,0,0,0,0,2.5,l/d 1 at center of plot = dirt hill
frenchmeadows,2019,fm10-4,S,,2,2,4,11.3,47,10,0,7,0.5,5,0.5,
frenchmeadows,2019,fm10-4,E,37,2,2,4,11.3,4,2,3,5,10,2,4,
frenchmeadows,2019,fm10-4,W,29,2,2,4,11.3,39,41,2,5,5,1,2,
frenchmeadows,2019,fm10-5,N,,2,2,4,11.3,12,1,1,1,3,2,2,
frenchmeadows,2019,fm10-5,S,,2,2,4,11.3,43,21,5,2,2,7,7,
frenchmeadows,2019,fm10-5,E,,2,2,4,11.3,11,12,0,20,1,6,3,duff 1 right on class 5 cwd
frenchmeadows,2019,fm10-5,W,,2,2,4,11.3,5,18,7,2,3,0,1,
frenchmeadows,2019,fm10-6,N,,2,2,4,11.3,10,11,3,3,3,7,7,
frenchmeadows,2019,fm10-6,S,,2,2,4,11.3,90,21,1,5,3,5,4,
frenchmeadows,2019,fm10-6,E,,2,2,4,11.3,37,8,2,3.5,0.5,0,0.5,
frenchmeadows,2019,fm10-6,W,,2,2,4,11.3,76,37,1,4.5,6,7,6,
frenchmeadows,2019,fm10-7,N,,2,2,4,11.3,26,4,2,2,1,2,1,
frenchmeadows,2019,fm10-7,S,,2,2,4,11.3,33,2,3,3,1,6,2,
frenchmeadows,2019,fm10-7,E,,2,2,4,11.3,40,5,4,8,2,10,2,
frenchmeadows,2019,fm10-7,W,,2,2,4,11.3,36,6,3,1,5,1,4,
frenchmeadows,2019,fm10-8,N,,2,2,4,11.3,35,9,4,0,2,0,2,
frenchmeadows,2019,fm10-8,S,,2,2,4,11.3,34,3,0,3,2,5,2,
frenchmeadows,2019,fm10-8,E,,2,2,4,11.3,13,6,0,3,2,15,3,
frenchmeadows,2019,fm10-8,W,,2,2,4,11.3,20,6,3,18,3,27,6,
frenchmeadows,2019,fm10-9,N,,2,2,4,11.3,6,6,1,2,5,2,6,
frenchmeadows,2019,fm10-9,S,,2,2,4,11.3,13,4,0,1,2,3,3,
frenchmeadows,2019,fm10-9,E,,2,2,4,11.3,25,3,1,0,2,2,1,
frenchmeadows,2019,fm10-9,W,,2,2,4,11.3,9,7,3,0,1,4,2,
frenchmeadows,2019,fm19-1,N,,2,2,4,11.3,0,4,2,tr,2,3,3,
frenchmeadows,2019,fm19-1,S,,2,2,4,11.3,46,21,2,9,1,5,4,
frenchmeadows,2019,fm19-1,E,,2,2,4,11.3,27,8,0,6,0,8,1.5,
frenchmeadows,2019,fm19-1,W,,2,2,4,11.3,8,6,5,15,1,9.5,2,
frenchmeadows,2019,FM19-2 ,N,,2,2,4,11.3,19,13,3,1,5,2,4,
frenchmeadows,2019,FM19-2 ,S,,2,2,4,11.3,49,10,1,4,5,2,6,
frenchmeadows,2019,FM19-2 ,E,30,2,2,4,11.3,20,10,3,4,1,4,3,
frenchmeadows,2019,FM19-2 ,W,33,2,2,4,11.3,19,3,1,5,2,5,3,
frenchmeadows,2019,fm19-3,N,,2,2,4,11.3,58,24,3,6,3,10,2,
frenchmeadows,2019,fm19-3,S,,2,2,4,11.3,37,10,2,15,tr,5,4,measured inversely starting at the center of the plot 
frenchmeadows,2019,fm19-3,E,25,2,2,4,11.3,26,5,3,4,5,3,2.5,
frenchmeadows,2019,fm19-3,W,32,2,2,4,11.3,11,7,2,5.5,4.5,8.5,4,
frenchmeadows,2019,fm19-4,N,,2,2,4,11.3,2,1,3,3,1,0,1.5,end is on decayed log 
frenchmeadows,2019,fm19-4,S,,2,2,4,11.3,14,9,4,5,0.5,7,1,
frenchmeadows,2019,fm19-4,E,30,2,2,4,11.3,24,6,1,2,3,1,3,
frenchmeadows,2019,fm19-4,W,27,2,2,4,11.3,32,14,1,0,0.5,6.5,3,
frenchmeadows,2019,fm19-5,N,27,2,2,4,11.3,59,20,3,3,1,7,3,
frenchmeadows,2019,fm19-5,S,27,2,2,4,11.3,41,22,1,2,2,6,4,
frenchmeadows,2019,fm19-5,E,,2,2,4,11.3,80,25,2,8,0.5,9,1,
frenchmeadows,2019,fm19-5,W,,2,2,4,11.3,152,10,3,0,0.5,6,3,
frenchmeadows,2019,fm19-6,N,21,2,2,4,11.3,1,1,0,0,0,0,0,rock outcrop
frenchmeadows,2019,fm19-6,S,30,2,2,4,11.3,10,15,0,2,1,3,2,
frenchmeadows,2019,fm19-6,E,36,2,2,4,11.3,6,0,2,3,3,0,1,
frenchmeadows,2019,fm19-6,W,35,2,2,4,11.3,2,2,0,0,tr,1,4,
frenchmeadows,2019,fm19-7,N,,2,2,4,11.3,24,2,0,tr,5,0.5,tr,
frenchmeadows,2019,fm19-7,S,,2,2,4,11.3,88,32,0,6,3,4,2,
frenchmeadows,2019,fm19-7,E,45,2,2,4,11.3,2,3,0,2,3,2,4,
frenchmeadows,2019,fm19-7,W,,2,2,4,11.3,18,6,5,2,3,2,0.5,
frenchmeadows,2019,fm19-8,N,,2,2,4,11.3,47,21,3,2,1,3,2,
frenchmeadows,2019,fm19-8,S,,2,2,4,11.3,19,5,1,0,1,3,3,
frenchmeadows,2019,fm19-8,E,41,2,2,4,11.3,11,7,0,1,5,2,5,
frenchmeadows,2019,fm19-8,W,40,2,2,4,11.3,67,20,0,7,2,3,4,
frenchmeadows,2019,fm19-9,N,30,2,2,4,11.3,3,1,0,tr,1,1,1,
frenchmeadows,2019,fm19-9,S,24,2,2,4,11.3,4,0,0,0.5,0.5,tr,tr,
frenchmeadows,2019,fm19-9,E,30,2,2,4,11.3,59,20,0,4,1,0,tr,
frenchmeadows,2019,fm19-9,W,29,2,2,4,11.3,47,5,0,0,tr,0,tr,
frenchmeadows,2019,fm19-10,N,20,2,2,4,11.3,38,4,0,2,3,1,3,
frenchmeadows,2019,fm19-10,S,21,2,2,4,11.3,22,3,3,1,6,4,2,
frenchmeadows,2019,fm19-10,E,41,2,2,4,11.3,58,14,0,6,tr,6,tr,
frenchmeadows,2019,fm19-10,W,44,2,2,4,11.3,21,3,3,5,1,5,2,
frenchmeadows,2019,fm19-11,N,,2,2,4,11.3,25,9,8,2,3,2,3,
frenchmeadows,2019,fm19-11,S,,2,2,4,11.3,18,3,0,3,3,3,2,
frenchmeadows,2019,fm19-11,E,53,2,2,4,11.3,56,8,3,4,3,4,8,
frenchmeadows,2019,fm19-11,W,38,2,2,4,11.3,25,5,2,0,3,tr,4,
frenchmeadows,2019,fm19-12,N,,2,2,4,11.3,25,20,1,tr,tr,3,2,
frenchmeadows,2019,fm19-12,S,,2,2,4,11.3,86,20,9,5,1,5,2,
frenchmeadows,2019,fm19-12,E,30,2,2,4,11.3,52,21,3,5,6,5,5,
frenchmeadows,2019,fm19-12,W,27,2,2,4,11.3,14,8,0,tr,2,tr,4,
frenchmeadows,2019,fm19-13,N,30,2,2,4,11.3,21,10,2,1,tr,5,1,
frenchmeadows,2019,fm19-13,S,29,2,2,4,11.3,13,13,4,8,3,2,1,
frenchmeadows,2019,fm19-13,E,20,2,2,4,11.3,26,3,1,6.5,1,11,1,end is in middle of snag / duff.litter taken to side
frenchmeadows,2019,fm19-13,W,,2,2,4,11.3,36,13,6,8,0.5,8,tr,
frenchmeadows ,2019,FM19-14,N,,2,2,4,11.3,2,0,0,0,tr,0,tr,
frenchmeadows ,2019,FM19-14,S,,2,2,4,11.3,5,2,0,0,2,0,tr,
frenchmeadows ,2019,FM19-14,E,24,2,2,4,11.3,20,6,1,2,3,1,2,
frenchmeadows ,2019,FM19-14,W,25,2,2,4,11.3,8,9,0,tr,2.5,4,1,
frenchmeadows ,2019,FM19-15,N,28,2,2,4,11.3,28,3,3,3,5,1,3,
frenchmeadows ,2019,FM19-15,S,32,2,2,4,11.3,6,4,2,tr,2,3,4,
frenchmeadows ,2019,FM19-15,E,,2,2,4,11.3,39,19,8,5,2,1,5,
frenchmeadows ,2019,FM19-15,W,,2,2,4,11.3,19,30,6,5,4,1,2,
frenchmeadows ,2019,FM19-16,N,,2,2,4,11.3,26,7,3,tr,tr,0.5,1,
frenchmeadows ,2019,FM19-16,S,,2,2,4,11.3,44,14,8,2.5,tr,12,4,
frenchmeadows ,2019,FM19-16,E,44,2,2,4,11.3,73,27,2,2,1,5,2,
frenchmeadows ,2019,FM19-16,W,45,2,2,4,11.3,137,37,5,4,0.5,6,2,
frenchmeadows ,2019,FM19-17,N,,2,2,4,11.3,8,1,0,3,12.5,1,1,
frenchmeadows ,2019,FM19-17,S,,2,2,4,11.3,8,1,0,5,2,1,1,
frenchmeadows ,2019,FM19-17,E,,2,2,4,11.3,4,1,0,4,7,7,7,
frenchmeadows ,2019,FM19-17,W,,2,2,4,11.3,8,1,0,4,5,3,7,
frenchmeadows ,2019,FM19-18,N,25,2,2,4,11.3,10,5,1,11,4,8,6,
frenchmeadows ,2019,FM19-18,S,20,2,2,4,11.3,11,5,5,5,15,3,5,
frenchmeadows ,2019,FM19-18,E,,2,2,4,11.3,12,8,4,6,4,4.5,3,
frenchmeadows ,2019,FM19-18,W,,2,2,4,11.3,11,10,3,2.5,0.5,3,1,
frenchmeadows ,2019,FM19-19,N,27,2,2,4,11.3,2,6,1,2,3.5,3,1.5,
frenchmeadows ,2019,FM19-19,S,25,2,2,4,11.3,24,14,2,3,tr,2,2,
frenchmeadows ,2019,FM19-19,E,,2,2,4,11.3,45,15,7,3,1,2.5,2.5,
frenchmeadows ,2019,FM19-19,W,,2,2,4,11.3,30,8,5,8,2,2.5,tr,
frenchmeadows ,2019,FM19-20,N,37,2,2,4,11.3,78,28,10,3,2,0,3,
frenchmeadows ,2019,FM19-20,S,31,2,2,4,11.3,88,17,3,4,2,2,6,
frenchmeadows ,2019,FM19-20,E,,2,2,4,11.3,36,16,2,4,3,3,5,
frenchmeadows ,2019,FM19-20,W,,2,2,4,11.3,60,26,3,5,2,5,3,
frenchmeadows ,2019,FM19-21,N,,2,2,4,11.3,24,9,2,1,2.5,4,tr,
frenchmeadows ,2019,FM19-21,S,,2,2,4,11.3,4,2,4,tr,tr,2,tr,
frenchmeadows ,2019,FM19-21,E,27,2,2,4,11.3,39,10,6,tr,2,2,4,
frenchmeadows ,2019,FM19-21,W,27,2,2,4,11.3,5,3,1,3,5,3,tr,
