site,year,pre_post_fire,pre_post_thin,postTime,plotid,obs,species,status,lifeform,layer_code,percent,notes
DryCreek,2020,prefire,,,DryCreek50,ag,ARTR,live,SH,na,0.5,
Antelope,2020,prefire,,,Antelope16,km,B,live,FB,na,0.05,"B  dead, curled lanceolate leaves, 5cm high, sample lost but KM has photos and VS has sample"
Antelope,2020,prefire,,,Antelope01,ag,BOECHERA,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,BOECHERA,live,FB,na,0.05,huge yellow flowers
Antelope,2020,prefire,,,Antelope08,km,BOECHERA,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek26,ag,BOECHERA,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek29,ag,BOECHERA,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek32,"vs, mm",BOECHERA,live,FB,na,0.05,wide fr
DryCreek,2020,postfire,,2yr,DryCreek33,"vs, mm",BOECHERA,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek35,"vs, mm",BOECHERA,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek37,ag,BOECHERA,live,FB,na,0.05,2
DryCreek,2020,postfire,,2yr,DryCreek38,ag,BOECHERA,live,FB,na,0.25,"1 thickstem, small leave"
DryCreek,2020,postfire,,2yr,DryCreek39,ag,BOECHERA,live,FB,na,1,1
DryCreek,2020,postfire,,2yr,DryCreek39,ag,BOECHERA,live,FB,na,0.05,2 smaller normal
DryCreek,2020,postfire,,2yr,DryCreek41,ag,BOECHERA,live,FB,na,0.05,2
DryCreek,2020,postfire,,2yr,DryCreek43,ag,BOECHERA,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek46,ag,BOECHERA,live,FB,na,0.05,2
DryCreek,2020,postfire,,2yr,DryCreek41,ag,BRAZ,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek37,ag,BROCAR,live,GR,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,BROCAR,live,GR,na,0.5,
DryCreek,2020,postfire,,2yr,DryCreek39,ag,BROCAR,live,GR,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek40,ag,BROCAR,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope08,km,carex,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope03,vs,carex1,live,GR,na,10,
Antelope,2020,prefire,,,Antelope05,vs,carex1,live,GR,na,1,
Antelope,2020,prefire,,,Antelope07,vs,carex1,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope09,vs,carex1,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope12,km,carex1,live,GR,na,7,
Antelope,2020,prefire,,,Antelope13,vs,carex1,live,GR,na,2,
Antelope,2020,prefire,,,Antelope14,km,carex1,live,GR,na,9,
Antelope,2020,prefire,,,Antelope15,vs,carex1,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,carex1,live,GR,na,2,
Antelope,2020,prefire,,,Antelope18,km,carex1,live,GR,na,2,
Antelope,2020,prefire,,,Antelope19,vs,carex1,live,GR,na,2,
DryCreek,2020,postfire,,2yr,DryCreek34,"vs, mm",carex1,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek48,"vs, mm",carex1,live,GR,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek33,"vs, mm",carexnew,live,GR,na,1,
Antelope,2020,prefire,,,Antelope02,ag,carros,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope10,ag,carros,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek21,ag,carros,live,GR,na,2,
DryCreek,2020,prefire,,,DryCreek22,ag,carros,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek23,ag,carros,live,GR,na,0.25,
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",carros,live,GR,na,10,
DryCreek,2020,prefire,,,DryCreek25,ag,carros,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek26,ag,carros,live,GR,na,1,
DryCreek,2020,prefire,,,DryCreek27,"vs, mm",carros,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek28,"vs, mm",carros,live,GR,na,1,
DryCreek,2020,prefire,,,DryCreek29,ag,carros,live,GR,na,0.5,
DryCreek,2020,postfire,,2yr,DryCreek37,ag,carros,live,GR,na,2,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,carros,live,GR,na,0.25,
DryCreek,2020,postfire,,2yr,DryCreek39,ag,carros,live,GR,na,2,
DryCreek,2020,postfire,,2yr,DryCreek40,ag,carros,live,GR,na,5,
DryCreek,2020,postfire,,2yr,DryCreek41,ag,carros,live,GR,na,1,
DryCreek,2020,postfire,,2yr,DryCreek43,ag,carros,live,GR,na,3,
DryCreek,2020,prefire,,,DryCreek50,ag,carros,live,GR,na,3,
Antelope,2020,prefire,,,Antelope04,ag,castilleja,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope17,vs,cerled,live,SH,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek37,ag,cerled,live,,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,cerled,live,SH,na,0.05,betuloides
Antelope,2020,prefire,,,Antelope08,km,CEVE,live,SH,na,3,
Antelope,2020,prefire,,,Antelope19,vs,CEVE,live,SH,na,8,
DryCreek,2020,prefire,,,DryCreek32,"vs, mm",CEVE,live,SH,na,0.05,resp
DryCreek,2020,postfire,,2yr,DryCreek33,"vs, mm",CEVE,live,SH,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek33,"vs, mm",CEVE,dead,SH,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek36,"vs, mm",CEVE,dead,SH,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,CEVE,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope17,vs,chaenactis,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,COLTOR,live,FB,na,0.05,"3-4cm, tiny unbranched hairy flower, dead"
DryCreek,2020,postfire,,2yr,DryCreek38,ag,CryptanthaSMALL,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek39,ag,CryptanthaSMALL,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,CryptanthaSpp,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope17,vs,CryptanthaSpp,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek32,"vs, mm",CryptanthaSpp,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek33,"vs, mm",CryptanthaSpp,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek36,"vs, mm",CryptanthaSpp,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope11,vs,CryptanthaTALL,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek37,ag,CryptanthaTALL,,,na,1,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,CryptanthaTALL,live,FB,na,0.25,
DryCreek,2020,postfire,,2yr,DryCreek39,ag,CryptanthaTALL,live,FB,na,1,
DryCreek,2020,postfire,,2yr,DryCreek40,ag,CryptanthaTALL,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,MIMNAN,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope01,ag,ELYELY,live,GR,na,2,
Antelope,2020,prefire,,,Antelope02,ag,ELYELY,live,GR,na,18,
Antelope,2020,prefire,,,Antelope03,vs,ELYELY,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,ELYELY,live,GR,na,4,
Antelope,2020,prefire,,,Antelope05,vs,ELYELY,live,GR,na,2,
Antelope,2020,prefire,,,Antelope06,km,ELYELY,live,GR,na,7,
Antelope,2020,prefire,,,Antelope07,vs,ELYELY,live,GR,na,1,
Antelope,2020,prefire,,,Antelope08,km,ELYELY,live,GR,na,0.25,
Antelope,2020,prefire,,,Antelope09,vs,ELYELY,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope10,ag,ELYELY,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope11,vs,ELYELY,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope12,km,ELYELY,live,GR,na,10,
Antelope,2020,prefire,,,Antelope13,vs,ELYELY,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope14,km,ELYELY,live,GR,na,3,
Antelope,2020,prefire,,,Antelope15,vs,ELYELY,live,GR,na,1,
Antelope,2020,prefire,,,Antelope16,km,ELYELY,live,GR,na,2,
Antelope,2020,prefire,,,Antelope17,vs,ELYELY,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope18,km,ELYELY,live,GR,na,9,
Antelope,2020,prefire,,,Antelope19,vs,ELYELY,live,GR,na,1,
DryCreek,2020,prefire,,,DryCreek21,ag,ELYELY,live,GR,na,1,
DryCreek,2020,prefire,,,DryCreek23,ag,ELYELY,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",ELYELY,live,GR,na,2,
DryCreek,2020,prefire,,,DryCreek26,ag,ELYELY,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek29,ag,ELYELY,live,GR,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek34,"vs, mm",ELYELY,live,GR,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek37,ag,ELYELY,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek46,ag,ELYELY,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek48,"vs, mm",ELYELY,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek50,ag,ELYELY,live,GR,na,1,
DryCreek,2020,prefire,,,DryCreek52,"vs, mm",ELYELY,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope07,vs,elymushairy,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope09,vs,elymushairy,live,GR,na,0.05,
Antelope,2020,prefire,,,Antelope15,vs,elymushairy,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope17,vs,elymushairy,live,GR,na,0.05,
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",elymushairy,live,GR,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek32,"vs, mm",elymushairy,live,GR,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek32,"vs, mm",EPIOBC,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek37,ag,EPIOBC,,,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek39,ag,EPIOBC,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope02,ag,ERIDIS,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,ERIDIS,live,SH,na,1,
Antelope,2020,prefire,,,Antelope17,vs,ERIDIS,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope18,km,ERIDIS,live,SH,na,0.5,
DryCreek,2020,prefire,,,DryCreek50,ag,ERIDIS,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope01,ag,ERINAU,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope02,ag,ERINAU,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope03,vs,ERINAU,live,SH,na,1,
Antelope,2020,prefire,,,Antelope03,vs,ERINAU,dead,SH,na,0.05,
Antelope,2020,prefire,,,Antelope07,vs,ERINAU,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope08,km,ERINAU,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope12,km,ERINAU,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope13,vs,ERINAU,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,ERINAU,live,SH,na,3,
Antelope,2020,prefire,,,Antelope17,vs,ERINAU,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope19,vs,ERINAU,live,SH,na,0.05,
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",ERINAU,live,SH,na,0.05,
DryCreek,2020,prefire,,,DryCreek29,ag,ERINAU,live,SH,na,1,
Antelope,2020,prefire,,,Antelope04,ag,ERISPU,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope17,vs,ERISPU,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope01,ag,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope02,ag,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,ERIUMB,live,FB,na,2,
Antelope,2020,prefire,,,Antelope05,vs,ERIUMB,live,FB,na,1,
Antelope,2020,prefire,,,Antelope06,km,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope08,km,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope10,ag,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope11,vs,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope12,km,ERIUMB,live,FB,na,1,
Antelope,2020,prefire,,,Antelope15,vs,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,ERIUMB,live,SH,na,0.75,
Antelope,2020,prefire,,,Antelope17,vs,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope18,km,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope19,vs,ERIUMB,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope11,vs,ERIWIL,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope17,vs,ERIWIL,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,ERYPER,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,firebedmoss,live,OTHER,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,gaspp,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,GAYDIF,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,GAYDIF,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope17,vs,GAYDIF,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope18,km,GAYDIF,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek29,ag,GAYDIF,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek34,"vs, mm",GAYDIF,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek37,ag,GAYDIF,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,GAYDIF,live,FB,na,1,
DryCreek,2020,postfire,,2yr,DryCreek39,ag,GAYDIF,live,FB,na,0.25,
DryCreek,2020,postfire,,2yr,DryCreek40,ag,GAYDIF,live,FB,na,1,
DryCreek,2020,prefire,,,DryCreek46,ag,GAYDIF,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek52,"vs, mm",GAYDIF,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek33,"vs, mm",gayophytum2,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,IPOCON,live,FB,na,0.05,very disected kale like leaves
Antelope,2020,prefire,,,Antelope01,ag,LEPNUT,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope02,ag,LEPNUT,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,LEPNUT,live,FB,na,0.05,subshrub common
Antelope,2020,prefire,,,Antelope08,km,LEPNUT,live,SH,na,0.5,
Antelope,2020,prefire,,,Antelope18,km,LEPNUT,live,SH,na,0.25,
Antelope,2020,prefire,,,Antelope01,ag,LEPPUN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope03,vs,LEPPUN,live,SH,na,1,
Antelope,2020,prefire,,,Antelope03,vs,LEPPUN,dead,SH,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,LEPPUN,live,SH,na,2,
Antelope,2020,prefire,,,Antelope05,vs,LEPPUN,live,SH,na,1,
Antelope,2020,prefire,,,Antelope07,vs,LEPPUN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope07,vs,LEPPUN,dead,SH,na,0.05,
Antelope,2020,prefire,,,Antelope08,km,LEPPUN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope08,km,LEPPUN,live,SH,na,1,
Antelope,2020,prefire,,,Antelope12,km,LEPPUN,live,SH,na,0.5,
Antelope,2020,prefire,,,Antelope13,vs,LEPPUN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope14,km,LEPPUN,live,SH,na,0.5,
Antelope,2020,prefire,,,Antelope15,vs,LEPPUN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,LEPPUN,live,SH,na,2,
Antelope,2020,prefire,,,Antelope16,km,LEPPUN,dead,SH,na,0.05,
Antelope,2020,prefire,,,Antelope19,vs,LEPPUN,live,SH,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek43,ag,LEPPUN,live,SH,na,0.05,
DryCreek,2020,prefire,,,DryCreek48,"vs, mm",LEPPUN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope17,vs,LESGLA,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope11,vs,LIAPAC,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope13,vs,LIAPAC,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope15,vs,LIAPAC,live,FB,na,1,
Antelope,2020,prefire,,,Antelope19,vs,LIAPAC,live,FB,na,1,
DryCreek,2020,prefire,,,DryCreek21,ag,LUPBRE,live,FB,na,0.5,
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",LUPLEP,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek26,ag,LUPLEP,live,FB,na,0.5,no infl
DryCreek,2020,prefire,,,DryCreek29,ag,LUPLEP,live,FB,na,0.05,no infl
DryCreek,2020,prefire,,,DryCreek48,"vs, mm",LUPLEP,live,FB,na,1,
DryCreek,2020,prefire,,,DryCreek50,ag,LUPLEP,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",microseris,live,FB,na,0.05,maybe microsteris gracilis??
Antelope,2020,prefire,,,Antelope11,vs,newfb,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope15,vs,newfb,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope17,vs,newfb,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",newforb,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,PENNEW,live,FB,na,0.05,penstemon newberri
DryCreek,2020,postfire,,2yr,DryCreek38,ag,penros,live,FB,na,0.05,penstemon rostiflorus
Antelope,2020,prefire,,,Antelope14,km,penstemonA,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,penstemonA,live,FB,na,0.05,"penstemonA, same as last plot"
Antelope,2020,prefire,,,Antelope01,ag,PHAHAS,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope02,ag,PHAHAS,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,PHAHAS,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope06,km,PHAHAS,live,FB,na,0.05,grazing
Antelope,2020,prefire,,,Antelope16,km,PHAHAS,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope18,km,PHAHAS,live,FB,na,0.05,
DryCreek,2020,prefire,,,DryCreek46,ag,PIAL,live,TR,TOV,0.5,whitebark
DryCreek,2020,prefire,,,DryCreek46,ag,PIAL,live,TR,TSA,0.5,whitebark
DryCreek,2020,prefire,,,DryCreek46,ag,PIAL,live,TR,TSE,0.05,whitebark
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",PICO,live,TR,TOV,5,
DryCreek,2020,postfire,,2yr,DryCreek33,"vs, mm",PICO,dead,TR,TOV,1,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,PICO,dead,TR,TOV,1,
DryCreek,2020,postfire,,2yr,DryCreek41,ag,PICO,dead,TR,TOV,3,
DryCreek,2020,postfire,,2yr,DryCreek41,ag,PICO,dead,TR,TSA,0.05,
DryCreek,2020,prefire,,,DryCreek48,"vs, mm",PICO,live,TR,TSA,0.05,
DryCreek,2020,prefire,,,DryCreek48,"vs, mm",PICO,live,TR,TOV,5,
Antelope,2020,prefire,,,Antelope01,ag,PIJE,live,TR,TOV,55,
Antelope,2020,prefire,,,Antelope01,ag,PIJE,live,TR,TSA,0.05,
Antelope,2020,prefire,,,Antelope01,ag,PIJE,live,TR,TSE,0.05,added after from regen
Antelope,2020,prefire,,,Antelope02,ag,PIJE,live,TR,TOV,30,
Antelope,2020,prefire,,,Antelope02,ag,PIJE,live,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope03,vs,PIJE,live,TR,TSE,1,
Antelope,2020,prefire,,,Antelope03,vs,PIJE,live,TR,TSA,0.05,
Antelope,2020,prefire,,,Antelope03,vs,PIJE,live,TR,TOV,9,
Antelope,2020,prefire,,,Antelope04,ag,PIJE,live,TR,TOV,8,
Antelope,2020,prefire,,,Antelope04,ag,PIJE,live,TR,TSA,1,
Antelope,2020,prefire,,,Antelope04,ag,PIJE,live,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope05,vs,PIJE,live,TR,TOV,9,
Antelope,2020,prefire,,,Antelope06,km,PIJE,live,TR,TOV,3,
Antelope,2020,prefire,,,Antelope06,km,PIJE,dead,TR,TOV,15,
Antelope,2020,prefire,,,Antelope06,km,PIJE,dead,TR,TSA,0.05,
Antelope,2020,prefire,,,Antelope06,km,PIJE,live,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope07,vs,PIJE,dead,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope07,vs,PIJE,live,TR,TSA,5,
Antelope,2020,prefire,,,Antelope07,vs,PIJE,live,TR,TOV,17,
Antelope,2020,prefire,,,Antelope08,km,PIJE,live,TR,TOV,45,
Antelope,2020,prefire,,,Antelope09,vs,PIJE,live,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope09,vs,PIJE,live,TR,TSA,3,
Antelope,2020,prefire,,,Antelope09,vs,PIJE,live,TR,TOV,25,
Antelope,2020,prefire,,,Antelope10,ag,PIJE,live,TR,TOV,25,
Antelope,2020,prefire,,,Antelope10,ag,PIJE,live,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope11,vs,PIJE,live,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope11,vs,PIJE,dead,TR,TOV,1,
Antelope,2020,prefire,,,Antelope11,vs,PIJE,live,TR,TOV,51,
Antelope,2020,prefire,,,Antelope12,km,PIJE,live,TR,TOV,55,
Antelope,2020,prefire,,,Antelope12,km,PIJE,live,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope13,vs,PIJE,live,TR,TSA,0.05,
Antelope,2020,prefire,,,Antelope13,vs,PIJE,live,TR,TOV,22,
Antelope,2020,prefire,,,Antelope14,km,PIJE,live,TR,TOV,23,
Antelope,2020,prefire,,,Antelope15,vs,PIJE,live,TR,TOV,26,
Antelope,2020,prefire,,,Antelope16,km,PIJE,live,TR,TOV,11,
Antelope,2020,prefire,,,Antelope16,km,PIJE,dead,TR,TOV,2,
Antelope,2020,prefire,,,Antelope16,km,PIJE,live,TR,TSA,1,
Antelope,2020,prefire,,,Antelope17,vs,PIJE,live,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope17,vs,PIJE,live,TR,TOV,7,
Antelope,2020,prefire,,,Antelope18,km,PIJE,live,TR,TOV,10,
Antelope,2020,prefire,,,Antelope18,km,PIJE,dead,TR,TSE,0.05,
Antelope,2020,prefire,,,Antelope19,vs,PIJE,live,TR,TSA,1,
