Site,date,Plot ID,year,Observers,X,Y,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,SlopePosition,ExistingVeg (Top3TOV),WTreeDistance_m,WTreeAzimuth_deg,WTreeTagNo,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.8m live,TOV_modHT(m),TSA(%)<1.8m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.9m,ST_modHT(m),1.9m> SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,BLACK LITTER,LITTER,CWD,CONES% / dom spp.,Bedrock,SMROCK (2-600mm),ROCK (>600mm),ASH,BASALVEG,MOSS/LICHEN,RD,Total Ground Cover (%) ,Photos,History,NOTES
RIM,6/30/2021,BM11,2021,"ag, jw, km, mm, mv",,,yes,,10,89,LL,LL,,"pipo, cade, quke",6.1,220,985,100,7,5,3,4,6.75,5,0.25,1.6,tr,0.2,0,na,33,0.25,1,0.5,0,na,0,na,33,0.25,20,0.15,20,0.2,1,tr,97.5,1,tr,tr,tr,0,0,0.5,tr,0,100,yes,,
RIM,6/30/2021,BM12,2021,"ag, jw, km, mm, mv",,,yes,,8,53,LL,LL,,"pipo, pila, cade",4.7,207,986,90,25,0.15,5,1,24,,tr,1.5,1,0.1,1,0.4,5,0.2,2,1.2,0,na,0,na,5,0.2,6,0.15,50,0.2,0.5,.tr,88.75,9,0.25,0,tr,0,0.5,1,tr,0,100,yes,,
RIM,7/4/2021,BM13,2021,"km, mm, mv",,,,,15,46,LL,LL,,"pipo, cade, quke",8.9,141,987,98,11,1.1,tr,8.7,10,10,0,na,0.75,1,0.75,1,80,0.25,0,na,0,na,0,na,80,0.25,2,0.1,21,0.25,0.5,tr,94.75,4,".5, pipo",0,tr,tr,0,0.25,tr,0,99.5,yes,,.5% pipo cones
RIM,6/30/2021,BM14,2021,"ag, jw, km, mm, mv",,,yes,,19,147,LL,LL,,"pipo, cade, quke",2.1,110,988,96,7.5,7,3,7,7.5,7,0.25,2,0.25,0.3,0,na,25,0.3,0.5,0.5,0,na,2,0.6,25,0.3,5,0.3,70,0.2,4,tr,92.5,2.5,tr,tr,tr,tr,0,1,tr,0,100,yes,,old road goes se to nw
RIM,7/4/2021,BM15,2021,"km, mm, mv",,,,,21,35,LL,CV,,"pipo, cade, quke",7.9,19,989,99,13,5,4.5,2.3,11,5,0.5,1.6,3,0.8,2,1,83.5,0.2,1,0.9,0,na,0.5,0.8,83.5,0.2,6,0.1,72,0.2,0.5,tr,91.75,4.5,tr,0.75,2,tr,0,0.5,tr,0,100,yes,,cap unburned but torched tse
RIM,7/3/2021,BM16,2021,"km, mm, mv",,,,,15,317,LL,LL,,"pipo, cade, quke",2.2,73,990,98.5,36,13,2.5,0.8,36,13,0,na,tr,0.1,tr,0.5,73,0.25,0.25,0.9,0,na,0,na,73,0.25,1,0.1,35,0.1,1,tr,95.75,1.5,".5, pipo",0,tr,0,0.25,1,tr,0,99.5,yes,,.5% pipo cones; found tagged tree but no rebar. put in new rebar according to witmess tree directions
RIM,7/2/2021,BM17,2021,"km, mm, mv",,,,,32,270,LL,LL,,"pipo, quke, cade",9.5,300,no tag - dead,97,1.25,0.5,8,3.5,0,na,0.5,1.6,0.75,0.5,0.5,1.6,42,0.2,3,1.3,0.5,2,6,1.7,42,0.2,21,0.2,76,0.35,8,tr,88.75,3,0,0,tr,0,tr,0.25,tr,0,100,yes,,
RIM,7/2/2021,BM18,2021,"km, mm, mv",,,,,21,299,LL,LL,,"cade, quke, pipo",3,19,991,99,47,0.16,4,6,44,16,2.5,3,2.25,0.1,1,1.2,53,0.2,0.25,1.1,0,na,9,1.2,53,0.2,5,0.4,20,0.2,0.25,tr,96.5,2,tr,0,tr,tr,tr,1.25,tr,0,100,yes,,
RIM,7/2/2021,BM19,2021,"km, mm, mv",,,,,19,199,LL,LL,,"pipo, cade, quke",5.6,32,992,98,17.25,0.1,1.5,3.6,20,,0,na,0.25,0.1,0,na,38.5,0.3,1.5,1,0,na,0.5,0.6,38.5,0.3,11,0.3,77,0.3,0.5,0.25,92.75,6,tr,0,tr,0,tr,0.5,tr,0,100,yes,,
RIM,7/3/2021,BM20,2021,"km, mm, mv",,,,,21,176,LL,LL,,"pipo, cade, quke",10.3,95,993,95,13.25,0.5,0.5,2.2,13,21,0,na,0.25,0.5,0.25,0.5,76,0.3,tr,0.4,0,na,1,1.2,76,0.3,3.25,0.3,31,0.9,5,tr,90.25,4,tr,0,tr,0,tr,0.75,tr,0,100,yes,,
RIM,7/3/2021,BM21,2021,"km, mm, mv",,,,,13,231,LL,LL,,"pipo, quke, cade",7.8,33,2929,99,4,0.7,15,7,2,12,0,na,2,0.7,2,0.7,91,0.35,0.25,0.4,0,na,0.75,1,91,0.35,1,0.2,30,0.2,tr,tr,98.5,1,0,0,tr,0,0,0.5,tr,0,100,yes,,
RIM,7/1/2021,BM22,2021,"km, mm, mv",,,yes,,24,220,LL,LL,,"quch, pipo, cade",5,81,995,95,24,5.5,25,5.5,20,5.5,2.5,1.6,4,0.7,6,0.7,38,0.2,4,0.8,0,na,0.75,0.55,38,0.2,2,0.1,60,0.2,4,tr,85.5,5,1,2,tr,0,1,1.5,tr,0,100,yes,,
RIM,7/1/2021,BM23,2021,"ag, jw, km, mm, mv",,,yes,,10,202,LL,LL,,"pipo, quch, quke,",na,na,no trees,98,1.5,1.8,0.5,0.7,0,na,1,1.75,0.5,0.8,0,na,22.5,0.2,1.5,0.8,0,na,0.5,na,22.5,0.2,17,0.3,70,0.2,5,tr,93.25,0.5,0,0,tr,0,1,0.25,0,0,100,yes,,
RIM,7/1/2021,BM24,2021,"ag, jw, km, mm, mv",,,yes,,16,221,LL,BR,,"pipo, cade, quke",5.3,59,996,95,12,1.25,1,10,12,11,0,na,1,0.7,0.25,1.2,55,0.2,1,0.8,0,na,tr,0.7,55,0.2,1,0.2,40,0.1,5,tr,89.5,3,tr,0,tr,2,0,0.5,tr,0,100,yes,,
RIM,7/2/2021,BM25,2021,"km, mm, mv",,,,,14,184,LL,BR,,"pipo, cade, psme",7.4,158,997,96.5,5,0.9,23,1.1,5.75,,0,na,0.75,1,0.75,1,48.5,0.25,1.25,1.2,0,ns,0.25,1.3,48.5,0.25,7,0.5,30,0.4,15,tr,72.75,11,0.25,0,tr,0,0.25,0.75,tr,0,100,yes,,
RIM,7/1/2021,BM26,2021,"km, mm, mv",,,,,23,214,LL,BR,,"quke, sasc, pipo",2,200,no live trees,94,4,1.5,15,15.5,0,na,3,1.6,3,1,2,1.2,22,0.2,4,0.8,0,na,10,0.8,22,0.2,45,0.5,90,0.3,5,0.25,90.25,3.5,0,0,tr,tr,tr,1,0,0,100,yes,,
RIM,7/2/2021,BM27,2021,"km, mm, mv",,,,,10,235,LL,BR,,"cade, sasc, pipo",na,na,no live trees,99,11,1.8,18,0.5,0,na,10,1.75,2,0.5,0.5,0.8,16,0.2,2,0.8,0.5,2.4,6,1.5,16,0.2,35,0.4,80,0.25,0.5,tr,88.5,10,0,0,tr,0,tr,1,tr,0,100,yes,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
