Date,Plot ID,Observers,X,Y,Burn (y/n),Burn Year,FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),<1.8m SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),CONES% / dom spp.,Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,RD,Total Ground Cover (%) ,History,NOTES,
9/2/2021,SHAVER011,"km, mm, sb",,,no,na,0 - unburned,26,250,LL,LL,"cade, abco, pipo",10.7,189,4301,51,41,33,tr,0.1,39,33,0.5,1.6,2,0.5,0,na,10.75,0.3,0,na,0,na,2,1.2,10.75,0.3,0.25,0.2,1.25,0.3,0,80.75,18,tr,0,0,tr,tr,0,1.25,tr,0,100,,"mechanical thinning, downed timber bucked in large chunks",
9/2/2021,SHAVER012,"km, mm, sb",,,no,na,0 - unburned,18,205,CC,LL,"cade, quke, abco",7.3,182,4308,92,85,5,9,5,80,5,2.75,1.9,6,0.5,0,na,16,0.3,0,na,0,na,tr,0.55,16,0.3,0,na,0,na,0,95,0,0,0.5,tr,1,0,tr,3.5,tr,0,100,,,
9/2/2021,SHAVER013,"km, mm, sb",,,yes,2020,1,11,110,LL,LL,"cade, abco, pije",10,276,4362,60,28,2.1,1,2.5,19,8,9,2.1,3,0.9,0,na,35,1.7,0,na,7,2,32,1.7,35,0.5,2,0.2,9,0.8,3,95.25,1.5,0,0,tr,tr,tr,0,0.25,tr,0,100,,,
9/2/2021,SHAVER014,"km, mm, sb",,,yes,2020,1,9,29,CV,LL,"pipo, pila, cade",5,248,4186,65,42,8,tr,0.4,40,8,3,3,0.25,0.3,0,na,30,1.7,2.25,1.7,5,2.3,27,1.7,30,0.5,0.5,0.1,0.75,0.9,8.5,86.25,tr,0,1.75,.25 pila,0,0,tr,3.25,tr,0,99.75,,2.25 of bare is from a bike trail on the eest side of plot,
9/3/2021,SHAVER015,"km, mm, sb",,,no,na,0 - unburned,21,101,CC,CC,"cade, abco, quke",1.3,215,4378,80,58,11,1,25,55,11,2.5,2,3.5,0.6,0.25,0.5,11.5,1.1,0,na,0,na,10.5,1.1,11.5,0.5,7.5,0.2,2,0.3,0.25,90.75,tr,0,5,tr,3,tr,tr,1,tr,0,100,,7% of tof from fern,
9/3/2021,SHAVER016,"km, mm, sb",,,no,na,0 - unburned,15,86,LL,LL,"cade, pila, abco",8.3,182,4392,86.75,86,6,5.75,6,85,14,2.25,2.5,1.5,0.2,0.5,1,0.75,0.4,0,na,0,na,tr,0.6,0.75,0.4,0.75,0.4,tr,0.3,0.25,92.75,tr,0,4.5,1 pila,0,0,tr,1.5,tr,0,99,,".75% of tof from fern, bike trail next to plot",
9/3/2021,SHAVER017,"km, mm, sb",,,no,na,0 - unburned,28,347,LL,LL,"pije, cade, abco",8.2,184,4760,92,41,12,0,na,40,12,0,na,1.75,0.5,0,na,28,1.2,3,0.3,1.25,2.2,23,1.2,28,0.5,6,0.5,18,0.8,tr,98.25,0.5,tr,0,0,tr,tr,0,1.25,tr,0,100,,,
9/3/2021,SHAVER018,"km, mm, sb",,,no,na,0 - unburned,11,100,CC,LL,"cade, abco, pipo",340,11,4526,80,24,4,1.25,2,22,4,7,1.8,1.5,0.7,1.25,2.3,6,0.6,1,0.5,0,na,4,0.6,6,0.5,9.5,0.15,17,0.2,1.5,92.5,tr,0,5,tr,0,0,tr,1,tr,0,100,,,
9/4/2021,SHAVER019,"km, mm, sb",,,no,na,0 - unburned,28,63,LL,LL,"abco,care, pipo",10,190,4538,45,30.5,24,0.25,9,30,24,0.25,1.9,2.5,0.9,0,na,13,0.4,0.5,0.5,0,na,4,0.7,13,0.4,0.5,0.1,5,0.5,0.5,96,tr,tr,0.25,2,0.25,tr,0,1,tr,0,100,,wasp nest on W transect about 6m from center,
9/4/2021,SHAVER020,"km, mm, sb",,,no,na,0 - unburned,25,35,LL,LL,"pije, abco, sani",10.6,194,4552,65,27.5,5,tr,1.8,25.25,5,3,2.6,0.5,0.6,tr,0.3,41,1.5,0.25,0.4,0.75,2.1,37,1.5,41,0.5,1,0.2,17,1.2,tr,99,0.75,tr,0,0,tr,0,0,0.25,tr,0,100,,,
9/4/2021,SHAVER021,"km, mm, sb",,,no,na,0 - unburned,15,29,LL,LL,"abco, cade, pila",9.1,190,4555,44,42,6,0.75,11,40,23,6,3.3,4.75,0.9,0,na,1.5,0.4,tr,0.2,0.25,1.9,0.75,1.1,1.5,0.4,2.25,0.5,0.25,0.3,10,83.5,1.75,tr,1,0.25,0.25,0,0,1.25,2,0,100,,2% fb cover from moss,
9/4/2021,SHAVER022,"km, mm, sb",,,no,na,0 - unburned,30,0,LL,LL,"abco, pila, cade",4,292,4567,47,28,38,5.75,21,18.5,38,0.25,1.5,10,0.5,1,na,8,0.5,0,na,0.5,1.9,4,1.5,8,0.5,10,0.8,0.75,0.5,1.5,90.5,6,tr,0,0,0.25,tr,0,1.75,tr,0,100,,,
9/5/2021,SHAVER023,"km, mm, sb",,,yes,2020,1,13,60,LL,LL,"pipo, abco, cade",4.6,205,4571,60,44,5,1.25,8,18,5,4.75,2.3,2,0.6,tr,0.2,20,1.5,13,0.4,1,2,18,1.5,20,0.5,1,0.6,0.25,0.5,0.25,94.25,tr,0,0.5,tr,0.75,3,0.25,1,tr,0,100,,barbed wire southest edges ,
9/5/2021,SHAVER024,"km, mm, sb",,,no,na,0 - unburned,28,324,LL,CC,"abco, cade, pila",8.4,181,4587,41.5,41,6,1.25,6,37,21,7,2.7,5,0.6,0,na,1.75,0.3,0,na,0,na,0.75,1.3,1.75,0.3,0.5,0.1,tr,0.3,3,89.5,tr,0,3,.25 pila,3,tr,tr,1.25,tr,0,99.75,dozer through part of w side of quaf,Top3TOV filled in QAQC with sp comp and pictures,
9/5/2021,SHAVER025,"km, mm, sb",,,no,na,0 - unburned,36,28,UN,LL,"abco, cade, pila",8.3,189,4498,49,43,11,1,18,40,11,3.25,3,2,0.5,0,na,4.25,0.4,0.25,0.2,0,na,2,1.1,4.25,0.4,0.75,0.3,0,na,0.5,98,0.5,tr,0,0,tr,tr,0,1,tr,0,100,,,
9/5/2021,SHAVER026,"km, mm, sb",,,no,na,0 - unburned,13,12,CV,CV,"abco, cade, pila",7.2,190,4821,54,52.25,4,2,6,48,4,8.25,2,1.25,0.4,0,na,0.75,0.3,0,na,0,na,0,na,0.75,0.3,0.5,0.1,1,0.8,tr,86.5,12,tr,0,0,tr,0,0,1.5,tr,0,100,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
